"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"49","wanderlust",54040,3,"shari springer berman",84,32500000,17288155,"2006-07-12","Q1",1,0,1,0,1,-0.468056769230769,0
"50","people i know",11458,1,"daniel algrant",100,2e+07,121972,"2002-11-21","Q2",1,1,0,0,0,-0.9939014,0
"51","insomnia",320,1,"christopher nolan",118,4.6e+07,67263182,"2002-05-24","Q2",1,1,0,0,0,0.462243086956522,0
"52","what a girl wants",10735,3,"dennie gordon",105,2.5e+07,35990505,"2003-03-27","Q2",0,0,0,0,1,0.4396202,0
"53","kiss the bride",82432,3,"vanessa parise",89,5e+05,32033,"2002-10-16","Q2",1,0,0,0,1,-0.935934,0
"54","whipped",23531,3,"peter m cohen",82,3e+06,4142507,"2000-09-01","Q3",1,0,0,0,1,0.380835666666667,0
"55","everything everything",417678,3,"stella meghie",96,1e+07,34121140,"2017-05-19","Q2",1,0,0,0,0,2.412114,1
"56","the spy next door",23172,3,"brian levant",94,2.8e+07,24307106,"2010-01-15","Q1",0,0,0,1,1,-0.131889071428571,0
"57","real women have curves",30309,3,"patricia cardoso",86,3e+06,5853194,"2002-01-01","Q4",1,0,0,0,1,0.951064666666667,0
"58","the gatekeepers",127918,3,"dror moreh",101,1500000,2408553,"2012-07-09","Q1",0,0,1,0,0,0.605702,0
"59","the house",345914,3,"andrew j cohen",88,4e+07,25584504,"2017-06-29","Q2",0,0,0,0,1,-0.3603874,0
"60","jimi all is by my side",192133,3,"john ridley",118,5e+06,340911,"2013-09-07","Q3",1,0,1,0,0,-0.9318178,0
"61","le havre",73532,3,"aki kaurismäki",93,5500000,611709,"2011-05-17","Q4",1,0,0,0,1,-0.888780181818182,0
"62","the lost city",9700,3,"andy garcía",144,9600000,2484186,"2005-09-03","Q2",1,0,0,0,0,-0.741230625,0
"63","storks",332210,3,"doug sweetland",87,7e+07,72679278,"2016-09-22","Q3",0,0,0,1,1,0.0382754,0
"64","popstar never stop never stopping",341012,3,"akiva schaffer",86,2e+07,9496130,"2016-06-03","Q2",0,0,1,0,1,-0.5251935,0
"65","the signal",13059,3,"david bruckner",103,4e+06,600896,"2007-02-22","Q2",0,1,0,1,1,-0.849776,0
"66","carrie",7342,3,"david carson",132,1800000,25878153,"2002-11-04","Q4",1,1,0,0,0,13.3767516666667,1
"67","may",10894,3,"lucky mckee",93,1750000,145540,"2002-01-13","Q1",1,1,0,0,0,-0.916834285714286,0
"68","original sin",2057,1,"michael cristofer",118,2.6e+07,16521410,"2001-08-03","Q3",0,1,0,0,0,-0.364561153846154,0
"69","changeling",3580,1,"clint eastwood",141,5.5e+07,35739802,"2008-01-30","Q4",1,1,0,0,0,-0.350185418181818,0
"70","a mighty heart",1988,1,"michael winterbottom",100,1.5e+07,9176787,"2007-01-01","Q2",1,1,0,0,0,-0.3882142,0
"71","lara croft tomb raider the cradle of life",1996,1,"jan de bont",117,9e+07,65653758,"2003-07-21","Q3",0,1,0,1,1,-0.2705138,0
"72","the last five years",206296,3,"richard lagravenese",94,2e+06,147299,"2014-11-03","Q1",1,0,1,0,1,-0.9263505,0
"73","pitch perfect",114150,3,"jason moore",112,1.7e+07,65001093,"2012-09-28","Q3",1,0,1,0,1,2.82359370588235,1
"74","table 19",353569,3,"jeffrey blitz",87,5e+06,3614896,"2017-01-20","Q1",1,0,0,0,1,-0.2770208,0
"75","compliance",84188,3,"craig zobel",90,270000,319285,"2012-08-23","Q3",1,1,0,0,0,0.182537037037037,0
"76","mommy",265177,3,"xavier dolan",138,4900000,3498695,"2014-05-22","Q4",1,0,0,0,0,-0.285980612244898,0
"77","the princess diaries 2 royal engagement",11130,1,"garry marshall",113,4.5e+07,95149435,"2004-08-06","Q3",1,0,0,0,1,1.11443188888889,1
"78","bride wars",10521,1,"gary winick",89,3e+07,58715510,"2009-01-09","Q1",0,0,0,0,1,0.957183666666667,0
"79","the princess diaries",9880,1,"garry marshall",115,3e+07,108244774,"2001-08-03","Q3",1,0,0,0,1,2.60815913333333,1
"80","one day",51828,1,"lone scherfig",107,1.5e+07,13843771,"2011-03-02","Q2",1,0,0,0,0,-0.0770819333333333,0
"81","cedar rapids",52067,3,"miguel arteta",87,1e+07,6861102,"2011-02-11","Q1",0,0,0,0,1,-0.3138898,0
"82","steamboy",8953,3,"katsuhiro otomo",126,2e+07,468867,"2004-07-17","Q1",0,0,0,0,1,-0.97655665,0
"83","the face of love",214086,1,"arie posin",92,4e+06,385069,"2013-10-25","Q4",1,0,0,0,0,-0.90373275,0
"84","grace",319986,3,"heath jones",95,5e+06,8297,"2014-04-18","Q3",1,0,0,0,0,-0.9983406,0
