"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"202","the borrowers",80709,2,"tom harper",90,2.9e+07,22619589,"2011-12-25","Q1",0,0,0,1,1,-0.220014172413793,0
"203","the other side of heaven",16651,3,"mitch davis",113,7e+06,4720371,"2001-04-12","Q4",1,0,0,1,1,-0.325661285714286,0
"204","chain reaction",40465,3,"olaf ittenbach",101,5.5e+07,21226204,"2006-01-01","Q3",0,1,0,0,0,-0.614069018181818,0
"205","zodiac",285135,2,"w d hogan",89,8.5e+07,33080084,"2014-08-16","Q1",0,0,0,0,1,-0.610822541176471,0
"206","greater",379441,3,"david hunt",130,9e+06,2000093,"2016-08-26","Q3",1,0,0,0,1,-0.777767444444444,0
"207","rize",2287,3,"david lachapelle",86,7e+05,3278611,"2005-01-15","Q2",0,0,1,0,0,3.68373,1
"208","jersey boys",209451,1,"clint eastwood",134,4e+07,47047013,"2014-06-05","Q2",1,0,1,0,0,0.176175325,0
"209","the eclipse",39563,3,"conor mcpherson",88,3e+06,133411,"2009-04-24","Q1",1,1,0,0,0,-0.955529666666667,0
"210","trouble with the curve",87825,1,"robert lorenz",111,6e+07,35763137,"2012-09-21","Q3",1,0,0,0,0,-0.403947716666667,0
"211","gran torino",13223,1,"clint eastwood",116,2.5e+07,148095302,"2008-12-09","Q4",1,0,0,0,0,4.92381208,1
"212","space cowboys",5551,1,"clint eastwood",130,6.5e+07,90454043,"2000-07-31","Q3",0,1,0,1,1,0.391600661538462,0
"213","million dollar baby",70,1,"clint eastwood",132,3e+07,100492203,"2004-12-15","Q4",1,0,0,0,0,2.3497401,1
"214","blood work",9573,1,"clint eastwood",110,5e+07,26199517,"2002-08-04","Q3",1,1,0,0,0,-0.47600966,0
"215","blood ties",190955,3,"guillaume canet",128,2.6e+07,42472,"2013-08-22","Q4",1,1,0,0,0,-0.998366461538462,0
"216","the international",4959,3,"tom tykwer",118,5e+07,25450527,"2009-02-03","Q1",1,1,0,0,0,-0.49098946,0
"217","the women",13972,3,"diane english",114,1.6e+07,26902075,"2008-09-12","Q3",1,0,0,0,1,0.6813796875,0
"218","dead man down",102362,1,"niels arden oplev",118,3e+07,10895295,"2013-03-08","Q1",1,1,0,1,0,-0.6368235,0
"219","seven psychopaths",86838,1,"martin mcdonagh",110,13500000,15024049,"2012-09-07","Q4",1,0,0,0,1,0.112892518518519,0
"220","genius",267192,1,"michael grandage",104,1.7e+07,1361045,"2016-06-10","Q2",1,0,1,0,0,-0.919938529411765,0
"221","kingsman the secret service",207703,1,"matthew vaughn",130,9.4e+07,128261724,"2015-01-29","Q1",1,0,0,1,1,0.364486425531915,0
"222","orange county",11857,3,"jake kasdan",82,1.8e+07,41059716,"2002-01-10","Q1",1,0,0,0,1,1.28109533333333,1
"223","alone with her",18206,3,"eric nicholas",78,1e+06,10787,"2006-04-28","Q1",1,1,0,0,0,-0.989213,0
"224","stomp the yard",1931,3,"sylvain white",114,1.4e+07,61356221,"2007-05-16","Q1",1,0,1,0,0,3.38258721428571,1
"225","free style",39055,3,"william dear",94,1e+07,141108,"2008-12-24","Q4",1,0,0,0,1,-0.9858892,0
"226","willard",10929,3,"glen morgan",100,2e+07,6882696,"2003-03-14","Q1",0,1,0,0,0,-0.6558652,0
"227","woodlawn",333596,3,"andrew erwin",123,1.3e+07,14394097,"2015-10-15","Q4",1,0,0,0,0,0.107238230769231,0
"228","boat trip",9557,3,"mort nathan",94,1.5e+07,8586376,"2002-10-01","Q1",0,0,0,0,1,-0.427574933333333,0
"229","daddy day camp",14144,3,"fred savage",89,6e+06,13235267,"2007-08-08","Q3",0,0,0,0,1,1.20587783333333,1
"230","radio",13920,3,"mike tollin",109,3.5e+07,52333738,"2003-10-24","Q4",1,0,0,0,0,0.495249657142857,0
"231","push",13455,2,"paul mcguigan",111,3.8e+07,31811527,"2009-02-06","Q1",0,0,0,1,0,-0.162854552631579,0
"232","midnight sun",287935,3,"roger spottiswoode",120,2800000,9561064,"2014-09-01","Q1",0,0,0,1,1,2.41466571428571,1
"233","bamboozled",24664,3,"spike lee",135,1e+07,2185266,"2000-10-06","Q4",1,0,0,0,1,-0.7814734,0
"234","the master of disguise",13908,3,"perry andelin blake",80,1.6e+07,40363530,"2002-08-02","Q3",0,0,0,0,1,1.522720625,1
"235","yogi bear",41515,1,"eric brevig",80,8e+07,100246011,"2010-12-11","Q4",0,0,0,1,1,0.2530751375,0
"236","the simpsons movie",35,3,"david silverman",87,72500000,183135014,"2007-07-25","Q3",0,0,0,0,1,1.52600019310345,1
"237","metallica through the never",193613,2,"nimród antal",93,1.8e+07,3419967,"2013-09-25","Q3",0,0,1,0,0,-0.810001833333333,0
"238","urbania",77332,3,"jon matthews",103,225000,1032075,"2000-01-24","Q3",1,0,0,0,0,3.587,1
"239","the ballad of jack and rose",17113,3,"rebecca miller",111,1500000,712294,"2005-03-25","Q1",1,0,0,0,0,-0.525137333333333,0
"240","lincoln",72976,3,"steven spielberg",149,6.5e+07,182207973,"2012-11-09","Q4",1,0,1,0,0,1.80319958461538,1
"241","patti cake ",426256,3,"geremy jasper",108,1e+06,800148,"2017-08-18","Q3",1,0,0,0,0,-0.199852,0
"242","doogal",24432,3,"frank passingham",85,2e+07,7578946,"2006-02-24","Q1",0,0,0,0,1,-0.6210527,0
"243","dinner rush",22617,3,"bob giraldi",99,2e+06,638227,"2000-09-01","Q3",1,1,0,1,0,-0.6808865,0
"244","drowning mona",25166,1,"nick gomez",96,1.6e+07,15427192,"2000-03-03","Q1",1,1,0,0,1,-0.0358005,0
"245","machete kills",106747,2,"robert rodriguez",107,2e+07,8008161,"2013-09-12","Q4",1,1,0,1,0,-0.59959195,0
"246","keeping up with the steins",21014,3,"scott marshall",90,5e+06,4339241,"2006-05-12","Q2",0,0,0,0,1,-0.1321518,0
"247","dave chappelle s block party",292,3,"michel gondry",100,3e+06,11718595,"2005-09-12","Q1",0,0,1,0,1,2.90619833333333,1
"248","scream 4",41446,2,"wes craven",111,4e+07,38180928,"2011-04-11","Q2",1,1,0,0,0,-0.0454768,0
"249","scream 3",4234,2,"wes craven",116,4e+07,89138076,"2000-02-03","Q1",1,1,0,0,0,1.2284519,1
"250","trust the man",14057,2,"bart freundlich",103,9e+06,1530535,"2005-09-01","Q3",1,0,0,0,1,-0.829940555555556,0
"251","return to me",2621,2,"bonnie hunt",115,2.4e+07,32662299,"2000-04-07","Q2",1,0,0,0,1,0.360929125,0
"252","evolution",9397,2,"ivan reitman",101,8e+07,38311134,"2001-06-08","Q2",0,0,0,1,1,-0.521110825,0
"253","the joneses",41479,2,"derrick borte",96,1e+07,1475746,"2009-09-13","Q2",1,0,0,0,1,-0.8524254,0
"254","the matador",85097,3,"nina gilden seavey",74,1e+07,12589255,"2008-11-20","Q4",0,0,1,0,0,0.2589255,0
"255","dickie roberts former child star",13778,3,"sam weisman",98,1.7e+07,22734486,"2003-09-05","Q3",0,0,0,0,1,0.337322705882353,0
"256","the emperor s new groove",11688,3,"mark dindal",78,1e+08,89296573,"2000-12-09","Q4",0,0,0,1,1,-0.10703427,0
"257","anomalisa",291270,3,"duke johnson",90,8e+06,3759286,"2015-12-30","Q1",1,0,0,0,1,-0.53008925,0
"258","time changer",45767,3,"rich christiano",95,825000,1500711,"2002-10-25","Q4",1,0,0,0,1,0.819043636363636,0
"259","bubble",14788,3,"steven soderbergh",73,1600000,145382,"2005-09-03","Q1",1,1,0,0,0,-0.90913625,0
"260","q",86331,3,"laurent bouhnik",103,1200000,255000,"2011-09-14","Q4",1,0,0,0,0,-0.7875,0
"261","all eyez on me",402529,3,"benny boom",139,4.5e+07,44922302,"2017-06-12","Q2",1,0,1,0,0,-0.00172662222222222,0
"262","lowriders",333384,3,"ricardo de montreuil",99,916000,6179955,"2017-04-28","Q2",1,0,0,0,0,5.74667576419214,1
"263","flawless",13195,2,"michael radford",108,2.7e+07,4485485,"2007-09-01","Q4",1,1,0,0,0,-0.833870925925926,0
"264","fences",393457,1,"denzel washington",139,2.4e+07,57682904,"2016-12-16","Q4",1,0,0,0,0,1.40345433333333,1
"265","remember the titans",10637,1,"boaz yakin",113,3e+07,115654751,"2000-09-29","Q3",1,0,0,0,0,2.85515836666667,1
"266","antwone fisher",13435,3,"denzel washington",120,12500000,21078145,"2002-12-19","Q4",1,0,0,0,0,0.6862516,0
"267","insidious chapter 3",280092,3,"leigh whannell",97,1e+07,52218558,"2015-06-04","Q2",1,1,0,0,0,4.2218558,1
"268","adoration",8895,3,"atom egoyan",100,4e+06,294244,"2008-01-01","Q2",1,0,0,0,0,-0.926439,0
"269","the second best exotic marigold hotel",268238,3,"john madden",122,1e+07,33078266,"2015-02-26","Q1",1,0,0,0,1,2.3078266,1
"270","because i said so",1257,1,"michael lehmann",102,3.9e+07,42674040,"2007-02-02","Q1",0,0,0,0,1,0.0942061538461538,0
"271","secretariat",39486,1,"randall wallace",123,3.5e+07,59699513,"2010-08-20","Q4",1,0,0,0,0,0.705700371428571,0
"272","the new guy",10985,3,"ed decter",88,1.3e+07,28972187,"2002-05-10","Q2",0,0,0,0,1,1.22862976923077,1
"273","skin trade",327833,3,"ekachai uekrongtham",96,9e+06,1242,"2014-11-07","Q2",1,1,0,1,0,-0.999862,0
"274","burn",139948,3,"tom putnam",86,225000,1109276,"2012-11-01","Q3",0,0,1,0,0,3.93011555555556,1
"275","next day air",18065,3,"benny boom",84,3e+06,10027047,"2009-02-06","Q2",1,0,0,1,1,2.342349,1
"276","the past is a grotesque animal",268917,3,"jason miller",77,1e+05,20056,"2014-06-15","Q2",0,0,1,0,0,-0.79944,0
"277","romeo juliet",91745,3,"carlo carlei",118,14500000,46338728,"2013-09-12","Q4",1,0,0,0,0,2.19577434482759,1
"278","college",13991,3,"deb hagan",94,6e+06,4694491,"2008-08-28","Q3",0,0,0,0,1,-0.217584833333333,0
"279","the wash",13408,3,"dj pooh",93,4e+06,10097096,"2001-11-16","Q4",0,0,0,1,1,1.524274,1
"280","blended",232672,1,"frank coraci",117,4.5e+07,46290741,"2014-05-21","Q2",0,0,0,0,1,0.0286831333333333,0
"281","beverly hills chihuahua",14405,1,"raja gosnell",91,2e+07,94514402,"2008-10-03","Q4",0,0,0,1,1,3.7257201,1
"282","the rundown",10159,1,"peter berg",104,8.5e+07,47641743,"2003-09-26","Q3",0,1,0,1,1,-0.439508905882353,0
"283","central intelligence",302699,1,"rawson marshall thurber",107,5e+07,127440871,"2016-06-15","Q2",0,0,0,1,1,1.54881742,1
"284","interview with the assassin",36584,3,"neil burger",88,750000,47329,"2002-05-09","Q4",1,1,0,0,0,-0.936894666666667,0
"285","the maze runner",198663,3,"wes ball",113,3.4e+07,102427862,"2014-09-10","Q3",1,1,0,1,1,2.01258417647059,1
"286","twisted",239895,3,"brian holden",133,5e+07,25195050,"2013-11-28","Q1",0,0,1,0,1,-0.496099,0
"287","dysfunktional family",17995,3,"george gallo",89,3e+06,2255000,"2003-04-04","Q2",0,0,1,0,1,-0.248333333333333,0
"288","undercover brother",12277,3,"malcolm d lee",86,2.5e+07,38230435,"2002-05-31","Q2",0,0,0,1,1,0.5292174,0
"289","my baby s daddy",26710,3,"cheryl dunye",86,1.2e+07,17321573,"2004-01-09","Q1",0,0,0,0,1,0.443464416666667,0
"290","nutty professor ii the klumps",12107,1,"peter segal",106,8.4e+07,123307945,"2000-07-27","Q3",1,0,0,0,1,0.467951726190476,0
"291","mr church",374461,1,"bruce beresford",104,8e+06,685780,"2016-09-16","Q3",1,0,0,0,0,-0.9142775,0
"292","the adventures of pluto nash",11692,1,"ron underwood",95,1e+08,4411102,"2002-08-15","Q3",0,0,0,1,1,-0.95588898,0
"293","i spy",8427,1,"betty thomas",97,7e+07,33561137,"2002-10-31","Q4",0,1,0,1,1,-0.520555185714286,0
"294","daddy day care",10708,1,"steve carr",92,6e+07,104148781,"2003-05-03","Q2",0,0,0,0,1,0.735813016666667,0
"295","the theory of everything",266856,3,"james marsh",123,1.5e+07,35893537,"2014-11-26","Q4",1,0,0,0,0,1.39290246666667,1
"296","point break",257088,3,"ericson core",114,1e+08,28782481,"2015-12-03","Q4",1,1,0,1,0,-0.71217519,0
"297","pollock",12509,1,"ed harris",122,6e+06,8596914,"2000-09-06","Q4",1,0,0,0,0,0.432819,0
"298","frontera",259611,1,"michael berry",103,2300000,59696,"2014-07-31","Q3",1,0,0,1,0,-0.974045217391304,0
"299","copying beethoven",1590,1,"agnieszka holland",104,1.1e+07,355968,"2006-09-10","Q4",1,0,0,0,0,-0.967639272727273,0
"300","3 backyards",68412,3,"eric mendelsohn",88,3e+05,39475,"2010-01-01","Q1",1,0,0,0,0,-0.868416666666667,0
"301","confidence",10743,3,"james foley",97,1.5e+07,12212417,"2003-04-25","Q2",1,1,0,1,1,-0.185838866666667,0
"302","newlyweds",72766,3,"edward burns",85,9000,4584,"2011-12-26","Q1",1,0,0,0,1,-0.490666666666667,0
"303","sidewalks of new york",31016,3,"edward burns",107,1e+06,2402459,"2001-11-23","Q4",1,0,0,0,1,1.402459,1
"304","the comedian",137072,3,"tom shkolnik",80,1.5e+07,1658706,"2013-05-31","Q1",0,0,0,0,0,-0.8894196,0
"305","winnie mandela",75033,3,"darrell james roodt",107,1.5e+07,61847,"2011-09-16","Q3",1,0,0,0,0,-0.995876866666667,0
"306","bedazzled",1636,1,"harold ramis",93,4.8e+07,37879996,"2000-10-19","Q4",1,0,0,0,1,-0.210833416666667,0
"307","the purge election year",316727,3,"james demonaco",105,1e+07,79042440,"2016-06-29","Q3",0,1,0,1,0,6.904244,1
"308","silent house",92182,2,"chris kentis",85,2e+06,12739737,"2011-01-21","Q1",1,1,0,0,0,5.3698685,1
"309","ouija origin of evil",335796,3,"mike flanagan",99,9e+06,35144505,"2016-10-20","Q4",0,1,0,0,0,2.904945,1
"310","soul survivors",14033,2,"stephen carpenter",84,1.4e+07,3100650,"2001-09-06","Q3",1,1,0,0,0,-0.778525,0
"311","the neon demon",301365,2,"nicolas winding refn",117,7500000,1333124,"2016-06-08","Q2",0,1,0,0,0,-0.822250133333333,0
"312","ballerina",342473,2,"eric summer",89,3e+07,21858070,"2016-12-14","Q4",0,0,0,1,1,-0.271397666666667,0
"313","another happy day",60422,3,"sam levinson",119,4e+06,9120,"2011-11-18","Q4",1,0,0,0,1,-0.99772,0
"314","whip it",22798,2,"drew barrymore",111,1.5e+07,13077184,"2009-09-13","Q4",1,0,0,0,0,-0.128187733333333,0
"315","junebug",1444,3,"phil morrison",106,1e+06,2678010,"2005-08-03","Q3",1,0,0,0,1,1.67801,1
"316","the mudge boy",26899,3,"michael burke",94,8e+05,62544,"2003-01-17","Q2",1,0,0,0,0,-0.92182,0
"317","the dangerous lives of altar boys",16857,3,"peter care",104,1.2e+07,1779284,"2002-06-14","Q2",1,0,0,0,1,-0.851726333333333,0
"318","legend of the guardians the owls of ga hoole",41216,3,"zack snyder",97,1e+08,55675313,"2010-07-10","Q3",0,0,0,1,1,-0.44324687,0
"319","plush",215881,3,"catherine hardwicke",98,2e+06,3080,"2013-09-13","Q3",0,1,0,0,0,-0.99846,0
"320","restoration",396152,3,"zack ward",90,1.8e+07,4100000,"2016-05-03","Q4",0,1,0,0,0,-0.772222222222222,0
"321","8 mile",65,3,"curtis hanson",110,4.1e+07,116724075,"2002-11-08","Q4",1,0,0,0,0,1.84692865853659,1
"322","la tortue rouge",337703,3,"michael dudok de wit",80,1.1e+07,920057,"2016-06-29","Q3",1,0,0,0,1,-0.916358454545455,0
"323","nerve",328387,2,"henry joost",96,2e+07,38583626,"2016-07-27","Q3",1,1,0,1,1,0.9291813,0
"324","saving mr banks",140823,3,"john lee hancock",125,3.5e+07,83299761,"2013-11-16","Q4",1,0,1,0,1,1.37999317142857,1
"325","beauty and the beast",321612,1,"bill condon",129,2e+07,206333165,"2017-03-16","Q4",1,0,0,0,1,9.31665825,1
"326","the circle",339988,1,"james ponsoldt",110,1.8e+07,20497844,"2017-04-27","Q2",1,1,0,0,1,0.138769111111111,0
"327","skyline",42684,3,"colin strause",100,1e+07,21416355,"2010-11-11","Q4",0,0,0,0,1,1.1416355,1
"328","mercy streets",26916,3,"jon gunn",106,6e+05,173599,"2000-10-31","Q4",1,0,0,1,1,-0.710668333333333,0
"329","love s abiding joy",22488,3,"michael landon jr",87,3e+06,252726,"2006-10-06","Q4",1,0,0,1,1,-0.915758,0
"330","monster",16309,3,"erik estenberg",86,5e+06,34469210,"2008-01-18","Q4",0,1,0,1,1,5.893842,1
"331","the babadook",242224,3,"jennifer kent",93,2e+06,950792,"2014-05-22","Q2",1,1,0,0,0,-0.524604,0
"332","before midnight",132344,3,"richard linklater",108,3e+06,8110621,"2013-04-05","Q2",1,0,0,0,0,1.70354033333333,1
"333","how to be a latin lover",425134,3,"ken marino",115,1e+07,32149404,"2017-04-28","Q2",0,0,0,0,1,2.2149404,1
"334","for greater glory the true story of cristiada",96399,3,"dean wright",145,1.2e+07,5669081,"2012-06-01","Q2",1,0,1,0,0,-0.527576583333333,0
"335","holy motors",103328,1,"leos carax",115,4e+06,641054,"2012-07-02","Q3",1,0,0,0,1,-0.8397365,0
"336","the business of fancydancing",40920,3,"sherman alexie",103,2e+05,174682,"2002-01-14","Q2",1,0,1,0,0,-0.12659,0
"337","rabbit proof fence",9555,3,"phillip noyce",94,7e+06,6199600,"2002-02-04","Q4",1,0,1,1,1,-0.114342857142857,0
"338","valiant",14175,1,"gary chapman",76,3.5e+07,19478106,"2005-03-25","Q3",0,0,0,1,1,-0.443482685714286,0
"339","the lost skeleton of cadavra",18841,3,"larry blamire",90,1e+05,110536,"2001-09-12","Q1",0,1,0,0,1,0.10536,0
"340","undead",8991,3,"michael spierig",97,750000,41196,"2003-09-04","Q3",0,1,0,1,1,-0.945072,0
"341","id a",86985,3,"christian e christiansen",104,2600000,3827060,"2011-11-24","Q1",0,1,0,0,0,0.471946153846154,0
"342","black nativity",175541,3,"kasi lemmons",93,17500000,7018188,"2013-11-27","Q4",1,0,1,0,0,-0.598960685714286,0
"343","our family wedding",34563,3,"rick famuyiwa",103,1.4e+07,20255281,"2010-03-12","Q1",0,0,0,0,1,0.446805785714286,0
"344","ajami",24424,3,"scandar copti",120,1e+06,621859,"2009-09-17","Q1",1,0,0,0,0,-0.378141,0
"345","stone",44113,3,"john curran",105,2.2e+07,1810078,"2010-10-07","Q4",1,0,0,0,0,-0.917723727272727,0
"346","anatomie",1698,3,"stefan ruzowitzky",103,2500000,9598,"2000-02-03","Q3",0,1,0,0,0,-0.9961608,0
"347","the purge anarchy",238636,3,"james demonaco",104,9e+06,71562550,"2014-07-17","Q3",0,1,0,0,0,6.95139444444444,1
"348","agent cody banks",10923,3,"harald zwart",102,2.5e+07,47545060,"2003-03-14","Q1",0,0,0,1,0,0.9018024,0
"349","agent cody banks 2 destination london",17047,3,"kevin allen",100,2.6e+07,23514247,"2004-06-24","Q1",0,0,0,0,1,-0.0956058846153846,0
"350","my dog skip",17908,3,"jay russell",95,7e+06,34099640,"2000-01-14","Q1",1,0,0,0,1,3.87137714285714,1
"351","the jimmy show",99826,3,"frank whaley",96,1e+06,703,"2002-01-16","Q4",1,0,0,0,1,-0.999297,0
"352","arthur et les minimoys",9992,3,"luc besson",94,8e+07,15132763,"2006-12-13","Q1",0,0,0,1,1,-0.8108404625,0
"353","boys and girls",10571,3,"robert iscove",94,1.6e+07,21799652,"2000-06-16","Q2",1,0,0,0,1,0.36247825,0
"354","summer catch",26602,3,"mike tollin",108,1.7e+07,19693891,"2001-08-22","Q3",1,0,0,0,1,0.158464176470588,0
"355","amores perros",55,3,"alejandro gonzález iñárritu",154,2e+06,5383834,"2000-06-16","Q1",1,1,0,0,0,1.691917,1
"356","rosewater",222649,3,"jon stewart",103,1e+07,3128941,"2014-11-07","Q4",1,0,0,0,0,-0.6871059,0
"357","zoom",351065,3,"pedro morelli",96,3.5e+07,11989328,"2015-09-11","Q3",1,0,0,0,1,-0.657447771428571,0
"358","the sitter",39824,3,"russell mulcahy",90,2.5e+07,30542576,"2007-09-16","Q4",0,1,0,0,0,0.22170304,0
"359","what planet are you from ",10416,3,"mike nichols",105,5e+07,6291602,"2000-03-03","Q1",1,0,0,0,1,-0.87416796,0
"360","the contender",6521,1,"rod lurie",126,9e+06,17804273,"2000-10-13","Q4",1,1,0,0,0,0.978252555555556,0
"361","the secrets of jonathan sperry",39401,3,"rich christiano",96,1e+06,1355079,"2008-04-27","Q3",1,0,0,0,1,0.355079,0
"362","you will meet a tall dark stranger",38031,3,"woody allen",98,1.5e+07,3247816,"2010-05-23","Q3",1,0,0,0,1,-0.783478933333333,0
"363","money monster",303858,1,"jodie foster",98,2.7e+07,41012075,"2016-05-12","Q2",0,1,0,0,0,0.518965740740741,0
"364","o brother where art thou ",134,1,"joel coen",106,2.6e+07,45506619,"2000-08-30","Q4",0,0,0,1,1,0.750254576923077,0
"365","leatherheads",4942,1,"george clooney",114,5.8e+07,31373938,"2008-03-24","Q2",1,0,0,0,1,-0.459070034482759,0
"366","olympus has fallen",117263,2,"antoine fuqua",120,7e+07,98927592,"2013-03-20","Q1",0,1,0,1,0,0.413251314285714,0
"367","the game of their lives",29078,2,"david anspaugh",101,2e+07,375474,"2005-01-01","Q2",1,0,0,0,0,-0.9812263,0
"368","chasing mavericks",82684,2,"curtis hanson",117,2e+07,6002756,"2012-10-25","Q4",1,0,0,0,0,-0.6998622,0
"369","saul fia",336050,3,"lászló nemes",107,1700000,1777043,"2015-06-11","Q2",1,1,1,1,0,0.0453194117647059,0
"370","the house of mirth",25520,3,"terence davies",140,1e+07,3041803,"2000-09-23","Q4",1,0,0,0,0,-0.6958197,0
"371","haywire",70435,3,"steven soderbergh",93,2.3e+07,18942396,"2011-11-06","Q1",0,1,0,1,0,-0.176417565217391,0
"372","breathless",122930,2,"jesse baget",91,7e+06,19910002,"2012-01-04","Q2",0,1,0,0,1,1.844286,1
"373","heaven is for real",236751,3,"randall wallace",99,1.2e+07,91386097,"2014-04-16","Q2",1,0,0,0,0,6.61550808333333,1
"374","auto focus",14112,3,"paul schrader",104,7e+06,2062066,"2002-10-18","Q4",1,0,0,0,0,-0.705419142857143,0
"375","bon voyage",14652,3,"jean paul rappeneau",114,2e+07,2353728,"2003-04-16","Q1",1,0,0,0,1,-0.8823136,0
"376","damsels in distress",82533,3,"whit stillman",99,3e+06,1007535,"2012-04-06","Q2",1,0,0,0,1,-0.664155,0
"377","frances ha",121986,3,"noah baumbach",86,3e+06,4067398,"2013-05-17","Q2",1,0,0,0,1,0.355799333333333,0
"378","mustang",336804,3,"deniz gamze ergüven",97,1400000,845464,"2015-06-17","Q2",1,0,0,0,0,-0.396097142857143,0
"379","memento",77,3,"christopher nolan",113,5e+06,25544867,"2000-10-11","Q1",1,1,0,0,0,4.1089734,1
"380","duets",18074,1,"bruce paltrow",112,1.6e+07,4734235,"2000-09-09","Q3",1,0,1,0,1,-0.7041103125,0
"381","shallow hal",9889,1,"bobby farrelly",114,4e+07,70836296,"2001-11-01","Q4",1,0,0,0,1,0.7709074,0
"382","possession",30072,1,"neil labute",102,2.5e+07,10103647,"2002-10-02","Q3",1,1,0,0,0,-0.59585412,0
"383","the edge of seventeen",376660,3,"kelly fremon craig",104,9e+06,14431633,"2016-11-18","Q4",1,0,0,0,1,0.603514777777778,0
"384","the haunting of molly hartley",14745,3,"mickey liddell",82,5e+06,13442412,"2008-10-31","Q4",1,1,0,0,0,1.6884824,1
"385","the country bears",18357,3,"peter hastings",88,2e+07,16988996,"2002-07-26","Q3",0,0,0,1,1,-0.1505502,0
"386","the call",158011,1,"brad anderson",94,12800000,51872378,"2013-03-14","Q1",1,1,0,0,0,3.05252953125,1
"387","gothika",4970,1,"mathieu kassovitz",98,4e+07,59588068,"2003-11-21","Q4",0,1,0,0,0,0.4897017,0
"388","16 to life",91122,3,"becky smith",118,1e+06,11574,"2009-09-19","Q3",1,0,0,0,1,-0.988426,0
"389","groove",23655,3,"greg harrison",86,5e+05,1115313,"2000-06-08","Q2",1,0,1,0,0,1.230626,1
"390","american teen",13259,3,"nanette burstein",95,5e+06,942441,"2008-07-25","Q3",0,0,1,0,0,-0.8115118,0
"391","what lies beneath",2655,1,"robert zemeckis",130,9e+07,155464351,"2000-07-21","Q3",1,1,0,0,0,0.727381677777778,0
"392","hollywood homicide",11375,1,"ron shelton",116,7.5e+07,30207785,"2003-06-09","Q2",0,1,0,1,1,-0.597229533333333,0
"393","k 19 the widowmaker",8665,1,"kathryn bigelow",138,9e+07,35168966,"2002-07-19","Q3",1,1,1,0,0,-0.609233711111111,0
"394","one direction this is us",164558,3,"morgan spurlock",92,1e+07,28873374,"2013-08-28","Q3",0,0,1,0,0,1.8873374,1
"395","the last godfather",70829,3,"shim hyung rae",100,13400000,164247,"2010-12-29","Q2",0,1,0,1,1,-0.98774276119403,0
"396","hoodwinked too hood vs evil",57089,2,"mike disa",86,3e+07,10143779,"2011-04-29","Q2",0,0,0,0,1,-0.661874033333333,0
"397","the heart of me",24985,1,"thaddeus o sullivan",96,7e+06,196067,"2002-01-01","Q2",1,0,0,0,0,-0.971990428571429,0
"398","conversations with other women",15624,1,"hans canosa",84,450000,379418,"2006-06-07","Q3",1,0,0,0,0,-0.156848888888889,0
"399","what women want",3981,1,"nancy meyers",127,6.5e+07,182805123,"2000-12-15","Q4",1,0,0,0,1,1.81238650769231,1
"400","eye in the sky",333352,3,"gavin hood",102,1.3e+07,18704596,"2015-09-11","Q1",1,1,1,1,0,0.438815076923077,0
"401","woman in gold",304357,3,"simon curtis",120,1.1e+07,33307793,"2015-04-10","Q2",1,0,0,0,0,2.02798118181818,1
"402","love ranch",39845,3,"taylor hackford",117,2.5e+07,137885,"2010-06-30","Q2",1,0,0,0,0,-0.9944846,0
"403","the hundred foot journey",228194,3,"lasse hallström",122,2.2e+07,54235441,"2014-08-06","Q3",1,0,0,0,0,1.46524731818182,1
"404","the reaping",1683,3,"stephen hopkins",99,4e+07,25126214,"2007-04-05","Q2",0,1,0,0,0,-0.37184465,0
"405","the homesman",264656,3,"tommy lee jones",122,1.6e+07,2429989,"2014-05-18","Q2",1,0,0,1,0,-0.8481256875,0
"406","the prodigy",20270,3,"william kaufman",120,6e+06,14856291,"2005-01-01","Q1",1,1,0,1,1,1.4760485,1
"407","the mule",253272,1,"tony mahony",103,5e+07,103804407,"2014-03-10","Q4",1,0,0,0,1,1.07608814,1
"408","all about the benjamins",13950,3,"kevin bray",95,1.4e+07,25482931,"2002-03-08","Q1",0,0,0,1,1,0.820209357142857,0
"409","barbershop",10611,3,"tim story",102,1.2e+07,75781642,"2002-04-01","Q3",1,0,0,0,1,5.31513683333333,1
"410","barbershop the next cut",326423,3,"malcolm d lee",112,2e+07,54030051,"2016-04-15","Q2",0,0,0,0,1,1.70150255,1
"411","ride along",168530,3,"tim story",99,2.5e+07,134202565,"2014-01-07","Q1",0,0,0,1,1,4.3681026,1
"412","next friday",10471,3,"steve carr",98,9500000,57176582,"2000-01-12","Q1",0,0,0,0,1,5.01858757894737,1
"413","the longshots",13579,3,"fred durst",94,2.3e+07,11511323,"2008-08-22","Q3",1,0,0,0,1,-0.499507695652174,0
"414","mandela long walk to freedom",192136,2,"justin chadwick",141,3.5e+07,8323085,"2013-12-06","Q4",1,0,1,0,0,-0.762197571428571,0
"415","serbuan maut",94329,3,"gareth evans",101,1100000,4105123,"2011-09-08","Q1",1,1,0,1,0,2.73193,1
"416","robinson crusoe",368940,3,"ben stassen",90,1.3e+07,8005586,"2016-02-04","Q1",0,0,0,1,1,-0.384185692307692,0
"417","iris",295799,3,"albert maysles",83,5500000,5580479,"2014-10-09","Q4",0,0,1,0,0,0.0146325454545455,0
