"","X","original_title","id","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","success_1_to_1"
"139",592,"evolution",9397,2001-06-08,"davidduchovny","ivanreitman",2,0,101,8e+07,38311134,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"140",177,"baby boy",16161,2001-06-27,"tyresegibson","johnsingleton",0,0,130,1.6e+07,28734552,"Q2",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
"141",446,"crazy beautiful",10691,2001-06-29,"kirstendunst","johnstockwell",0,2,99,1.3e+07,16929123,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"142",1292,"pandaemonium",40880,2001-06-29,"linusroache","julientemple",0,0,124,1.5e+07,34513500.7541806,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"143",624,"final fantasy the spirits within",2114,2001-07-02,"donaldsutherland","hironobusakaguchi",0,0,106,1.37e+08,32131830,"Q3",1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"144",983,"kiss of the dragon",2140,2001-07-06,"jetli","chrisnahon",0,0,98,2.5e+07,36833473,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"145",1015,"legally blonde",8835,2001-07-13,"reesewitherspoon","robertluketic",2,1,96,1.8e+07,96493426,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"146",959,"jurassic park iii",331,2001-07-18,"samneill","joejohnston",0,0,92,9.3e+07,181166115,"Q3",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"147",719,"ghost world",1548,2001-07-20,"thorabirch","terryzwigoff",0,0,111,5500000,6217849,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"148",926,"jackpot",196859,2001-07-26,"jongries","michaelpolish",0,1,97,4e+05,44452,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1275,"original sin",2057,2001-08-03,"angelinajolie","michaelcristofer",3,0,118,2.6e+07,16521410,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"150",2017,"the princess diaries",9880,2001-08-03,"annehathaway","garrymarshall",3,4,115,3e+07,108244774,"Q3",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"151",1277,"osmosis jones",12610,2001-08-07,"chrisrock","bobbyfarrelly",0,1,95,7e+07,13596911,"Q3",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"152",1500,"session 9",10972,2001-08-10,"petermullan","bradanderson",0,1,100,1500000,378176,"Q3",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"153",1631,"summer catch",26602,2001-08-22,"freddieprinzejr","miketollin",0,1,108,1.7e+07,19693891,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"154",1079,"lucky break",35944,2001-08-24,"jamesnesbitt","petercattaneo",0,0,107,6e+06,54606,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"155",1164,"monsoon wedding",480,2001-08-30,"naseeruddinshah","miranair",0,2,114,1200000,13876974,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"156",237,"betty fisher et autres histoires",55903,2001-09-01,"sandrinekiberlain","claudemiller",0,0,103,7500000,206400,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"157",2132,"thirteen conversations about one thing",17734,2001-09-02,"johnturturro","jillsprecher",0,0,104,3e+06,3287435,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"158",247,"birthday girl",2084,2001-09-06,"nicolekidman","jezbutterworth",3,0,93,1.3e+07,4919896,"Q1",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"159",1570,"soul survivors",14033,2001-09-06,"elizadushku","stephencarpenter",0,0,84,1.4e+07,3100650,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"160",986,"knockaround guys",7501,2001-09-07,"barrypepper","briankoppelman",0,0,92,1.5e+07,11660180,"Q4",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"161",1006,"last orders",14778,2001-09-10,"michaelcaine","fredschepisi",2,0,109,1.2e+07,2326407,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"162",1933,"the lost skeleton of cadavra",18841,2001-09-12,"faymasterson","larryblamire",0,0,90,1e+05,110536,"Q1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"163",783,"hardball",20857,2001-09-14,"keanureeves","brianrobbins",3,0,106,2.1e+07,40222729,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"164",1816,"the glass house",2176,2001-09-14,"leeleesobieski","danielsackheim",1,0,106,2.2e+07,17951431,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"165",2323,"zoolander",9398,2001-09-28,"benstiller","benstiller",3,0,89,2.8e+07,45172250,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"166",1115,"max keeble s big move",34549,2001-10-05,"alexdlinz","timhill",0,0,86,1.2e+07,17292381,"Q4",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"167",87,"all the queen s men",31668,2001-10-14,"mattleblanc","stefanruzowitzky",1,0,99,1.5e+07,22723,"Q4",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"168",730,"go",37959,2001-10-20,"yosukekubozuka","isaoyukisada",0,0,122,6500000,16875273,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"169",988,"k pax",167,2001-10-22,"jeffbridges","iainsoftley",4,0,120,4.8e+07,50315140,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"170",1029,"life as a house",11457,2001-10-25,"kevinkline","irwinwinkler",2,0,125,1.8e+07,15652637,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"171",1265,"on the line",34043,2001-10-26,"lancebass","ericbross",0,0,85,1e+07,4365455,"Q4",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"172",1511,"shallow hal",9889,2001-11-01,"gwynethpaltrow","bobbyfarrelly",1,0,114,4e+07,70836296,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"173",590,"everything put together",81220,2001-11-02,"radhamitchell","marcforster",0,0,87,5e+05,34513500.7541806,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"174",1659,"tangled",51986,2001-11-02,"rachaelleighcook","jaylowi",0,0,100,2.6e+08,200821936,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
"175",981,"kiss kiss bang bang ",22615,2001-11-07,"stellanskarsgård","stewartsugg",0,0,101,1.5e+07,4235837,"Q4",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"176",2108,"the wash",13408,2001-11-16,"drdre","djpooh",0,0,93,4e+06,10097096,"Q4",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"177",660,"frailty",12149,2001-11-17,"billpaxton","billpaxton",0,1,100,1.1e+07,13110448,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1
"178",1588,"spy game",1535,2001-11-18,"robertredford","tonyscott",1,0,126,9e+07,62362560,"Q4",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
"179",252,"black knight",11469,2001-11-21,"martinlawrence","giljunger",2,0,95,3.5e+07,33422806,"Q4",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"180",1282,"out cold",14369,2001-11-21,"jasonlondon","brendanmalloy",0,0,89,1.1e+07,13906394,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"181",1675,"texas rangers",13503,2001-11-30,"jamesvanderbeek","steveminer",1,0,110,3.8e+07,623374,"Q4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
"182",1983,"the order",37632,2001-12-10,"jeanclaudevandamme","sheldonlettich",1,0,89,3.5e+07,7659747,"Q3",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0
"183",34,"a beautiful mind",453,2001-12-11,"russellcrowe","ronhoward",3,2,135,7.8e+07,170708996,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1
"184",67,"ali",8489,2001-12-11,"willsmith","michaelmann",0,1,157,1.09e+08,58183966,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"185",1930,"the lord of the rings the fellowship of the ring",120,2001-12-18,"elijahwood","peterjackson",0,1,178,1.09e+08,315544750,"Q4",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1
"186",946,"joe somebody",12312,2001-12-21,"timallen","johnpasquin",1,0,99,3.8e+07,22770864,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"187",1941,"the majestic",11086,2001-12-21,"jimcarrey","frankdarabont",1,0,152,7.2e+07,27796042,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
"188",862,"i am sam",10950,2001-12-28,"seanpenn","jessienelson",2,1,132,2.2e+07,40270895,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"189",394,"city of ghosts",31932,2002-01-01,"mattdillon","mattdillon",0,0,116,17500000,325491,"Q2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"190",1175,"morvern callar",18602,2002-01-01,"samanthamorton","lynneramsay",0,0,97,6e+06,267194,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"191",1392,"real women have curves",30309,2002-01-01,"americaferrera","patriciacardoso",0,0,86,3e+06,5853194,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"192",1844,"the heart of me",24985,2002-01-01,"helenabonhamcarter","thaddeusosullivan",1,1,96,7e+06,196067,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
"193",2064,"the slaughter rule",21801,2002-01-01,"ryangosling","andrewjsmith",3,0,112,5e+05,13134,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"194",1273,"orange county",11857,2002-01-10,"colinhanks","jakekasdan",1,0,82,1.8e+07,41059716,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"195",273,"blue car",46989,2002-01-11,"margaretcolin","karenmoncrieff",0,0,92,1e+06,464126,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"196",1492,"secretary",11013,2002-01-11,"jamesspader","stevenshainberg",0,0,104,4e+06,4046737,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"197",236,"better luck tomorrow",14290,2002-01-12,"parryshen","justinlin",0,0,101,250000,3802390,"Q2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
"198",1116,"may",10894,2002-01-13,"angelabettis","luckymckee",1,0,93,1750000,145540,"Q1",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
"199",1210,"narc",11022,2002-01-14,"jasonpatric","joecarnahan",0,0,105,7500000,10465659,"Q4",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
"200",1727,"the business of fancydancing",40920,2002-01-14,"evanadams","shermanalexie",0,0,103,2e+05,174682,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"201",1096,"manito",185465,2002-01-15,"frankyg","ericeason",0,0,78,25000,34513500.7541806,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"202",1886,"the jimmy show",99826,2002-01-16,"frankwhaley","frankwhaley",0,0,96,1e+06,703,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"203",1557,"snow dogs",11888,2002-01-18,"jimbelushi","brianlevant",0,1,99,3.2e+07,81150692,"Q1",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"204",1616,"stranded",112648,2002-01-20,"icet","fredolenray",0,0,96,1900000,34513500.7541806,"Q3",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
"205",1545,"slackers",20009,2002-02-01,"jasonsegel","deweynicks",0,0,86,1.1e+07,4814244,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"206",1379,"rabbit proof fence",9555,2002-02-04,"everlynsampi","phillipnoyce",0,0,94,7e+06,6199600,"Q4",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0
"207",383,"cidade de deus",598,2002-02-05,"alexandrerodrigues","fernandomeirelles",0,0,130,3300000,7563397,"Q1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1
"208",1375,"queen of the damned",11979,2002-02-10,"stuarttownsend","michaelrymer",1,0,101,3.5e+07,30307804,"Q1",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0
"209",1193,"my big fat greek wedding",8346,2002-02-22,"niavardalos","joelzwick",1,0,95,5e+06,241438208,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"210",2261,"we were soldiers",10590,2002-03-01,"melgibson","randallwallace",0,2,138,7e+07,78120196,"Q1",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
"211",79,"all about the benjamins",13950,2002-03-08,"icecube","kevinbray",4,0,95,1.4e+07,25482931,"Q1",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"212",865,"ice age",425,2002-03-10,"rayromano","chriswedge",3,2,81,6.5e+07,176387405,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"213",1412,"resident evil",1576,2002-03-15,"millajovovich","paulwsanderson",2,3,100,3.5e+07,40119709,"Q1",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"214",1567,"sorority boys",6020,2002-03-22,"barrywatson","wallacewolodarsky",0,0,93,1.2e+07,10198766,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"215",1609,"stolen summer",39541,2002-03-22,"aidanquinn","petejones",0,0,91,1500000,119841,"Q1",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"216",488,"death to smoochy",9275,2002-03-28,"robinwilliams","dannydevito",1,1,109,5e+07,8355815,"Q1",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"217",198,"barbershop",10611,2002-04-01,"icecube","timstory",3,5,102,1.2e+07,75781642,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"218",814,"high crimes",11560,2002-04-03,"ashleyjudd","carlfranklin",1,0,115,4.2e+07,41543207,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
"219",1185,"murder by numbers",11892,2002-04-19,"sandrabullock","barbetschroeder",2,0,120,5e+07,31874869,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"220",503,"deuces wild",13201,2002-05-03,"stephendorff","scottkalvert",2,0,96,1e+07,6044618,"Q2",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0
"221",893,"interview with the assassin",36584,2002-05-09,"dylanhaggerty","neilburger",0,0,88,750000,47329,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
"222",1971,"the new guy",10985,2002-05-10,"djqualls","eddecter",0,0,88,1.3e+07,28972187,"Q2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"223",2209,"unfaithful",2251,2002-05-10,"richardgere","adrianlyne",1,0,124,5e+07,52752475,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1
"224",1385,"raising victor vargas",25461,2002-05-16,"victorrasuk","petersollett",0,0,88,8e+05,2073984,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"225",1009,"l auberge espagnole",1555,2002-05-17,"romainduris","cédricklapisch",0,0,122,5900000,3895664,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
"226",1865,"the importance of being earnest",9026,2002-05-17,"ruperteverett","oliverparker",0,0,97,1.5e+07,8378141,"Q2",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0
"227",139,"ararat",16351,2002-05-20,"simonabkarian","atomegoyan",0,1,115,15500000,1693000,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
"228",891,"insomnia",320,2002-05-24,"alpacino","christophernolan",1,0,118,4.6e+07,67263182,"Q2",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1
"229",1582,"spirit stallion of the cimarron",9023,2002-05-24,"mattdamon","kellyasbury",2,1,83,8e+07,73215310,"Q2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"230",2256,"welcome to collinwood",9260,2002-05-24,"williamhmacy","anthonyrusso",0,1,86,1.2e+07,378650,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"231",2201,"undercover brother",12277,2002-05-31,"eddiegriffin","malcolmdlee",2,3,86,2.5e+07,38230435,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"232",1586,"spun",12079,2002-06-01,"jasonschwartzman","jonasåkerlund",0,0,101,4500000,410241,"Q1",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"233",1351,"poolhall junkies",14293,2002-06-07,"rickyschroder","marscallahan",0,0,99,4e+06,563711,"Q1",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
"234",1754,"the dangerous lives of altar boys",16857,2002-06-14,"emilehirsch","petercare",1,0,104,1.2e+07,1779284,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"235",1151,"minority report",180,2002-06-20,"tomcruise","stevenspielberg",1,2,145,1.02e+08,132024714,"Q2",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
"236",965,"juwanna mann",35696,2002-06-21,"miguelanúñez","jessevaughan",0,0,91,15600000,13571817,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"237",1038,"lilo stitch",11544,2002-06-21,"chrissanders","deandeblois",0,0,85,8e+07,145771527,"Q2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"238",1633,"sunshine state",57022,2002-06-21,"alanking","johnsayles",0,1,141,5600000,3064356,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"239",810,"hey arnold the movie",17710,2002-06-28,"spencerklein","tucktucker",0,0,76,1e+07,13684949,"Q2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"240",774,"halloween resurrection",11442,2002-07-01,"jamieleecurtis","rickrosenthal",0,0,94,1.5e+07,30259652,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"241",1037,"like mike",21972,2002-07-03,"shadmoss","johnschultz",1,0,99,3e+07,51432423,"Q3",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"242",1403,"reign of fire",6278,2002-07-12,"christianbale","robbowman",2,0,101,6e+07,43061982,"Q1",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"243",966,"k 19 the widowmaker",8665,2002-07-19,"harrisonford","kathrynbigelow",1,1,138,9e+07,35168966,"Q3",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"244",167,"austin powers in goldmember",818,2002-07-26,"mikemyers","jayroach",0,2,94,6.3e+07,213117789,"Q3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"245",1748,"the country bears",18357,2002-07-26,"haleyjoelosment","peterhastings",0,0,88,2e+07,16988996,"Q3",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",1753,"the crocodile hunter collision course",17043,2002-07-26,"steveirwin","johnstainton",0,0,90,12500000,28436931,"Q3",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"247",1105,"martin lawrence live runteldat",20337,2002-08-01,"martinlawrence","martinlawrence",1,0,113,3e+06,19184820,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"248",1952,"the master of disguise",13908,2002-08-02,"danacarvey","perryandelinblake",0,0,80,1.6e+07,40363530,"Q3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"249",271,"blood work",9573,2002-08-04,"clinteastwood","clinteastwood",3,10,110,5e+07,26199517,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
"250",384,"cinderella",105875,2002-08-06,"tonyail","toshiyukihiruma",0,0,48,9.5e+07,201151353,"Q1",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"251",1591,"spy kids 2 the island of lost dreams",9488,2002-08-07,"antoniobanderas","robertrodriguez",1,6,100,3.8e+07,85846296,"Q3",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"252",274,"blue crush",9266,2002-08-08,"katebosworth","johnstockwell",1,1,104,3e+07,40118420,"Q3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"253",615,"feardotcom",9544,2002-08-09,"stephendorff","williammalone",1,0,101,4e+07,13208023,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"254",1683,"the adventures of pluto nash",11692,2002-08-15,"eddiemurphy","ronunderwood",3,1,95,1e+08,4411102,"Q3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"255",1837,"the guru",9027,2002-08-21,"jimimistry","daisyvonscherlermayer",0,0,91,1.1e+07,3051221,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"256",393,"city by the sea",13536,2002-09-06,"robertdeniro","michaelcatonjones",2,0,108,4e+07,22433915,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"257",1170,"moonlight mile",31005,2002-09-09,"jakegyllenhaal","bradsilberling",0,0,117,2.1e+07,6830957,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"258",1113,"max",13560,2002-09-10,"johncusack","mennomeyjes",1,1,106,2e+07,42656255,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"259",692,"funny ha ha",33693,2002-09-20,"katedollenmayer","andrewbujalski",0,1,85,30000,77070,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"260",1127,"men with brooms",34341,2002-09-20,"paulgross","paulgross",0,0,102,7500000,4239767,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"261",2007,"the pianist",423,2002-09-24,"adrienbrody","romanpolanski",0,0,150,3.5e+07,32519322,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"262",1647,"sweet home alabama",11529,2002-09-26,"reesewitherspoon","andytennant",1,0,108,3.8e+07,127214072,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"263",2099,"the tuxedo",10771,2002-09-27,"jackiechan","kevindonovan",0,0,98,6e+07,50586000,"Q3",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"264",1398,"red dragon",9533,2002-09-29,"anthonyhopkins","brettratner",0,0,124,7.8e+07,92955420,"Q4",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
"265",278,"boat trip",9557,2002-10-01,"cubagoodingjr","mortnathan",3,0,94,1.5e+07,8586376,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"266",1354,"possession",30072,2002-10-02,"gwynethpaltrow","neillabute",0,0,102,2.5e+07,10103647,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"267",949,"jonah a veggietales movie",15173,2002-10-04,"philvischer","philvischer",0,0,82,1.4e+07,25571351,"Q4",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
"268",310,"brown sugar",37964,2002-10-05,"sanaalathan","rickfamuyiwa",0,2,109,8e+06,27362712,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"269",291,"bowling for columbine",1430,2002-10-09,"michaelmoore","michaelmoore",2,3,120,3e+06,21576018,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"270",2046,"the rules of attraction",1809,2002-10-11,"jamesvanderbeek","rogeravary",0,0,110,4e+06,6525762,"Q4",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"271",2180,"tuck everlasting",13768,2002-10-11,"alexisbledel","jayrussell",1,0,90,1.5e+07,19161999,"Q4",0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"272",32,"abandon",15992,2002-10-14,"katieholmes","stephengaghan",1,0,99,2.5e+07,10719367,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
"273",169,"auto focus",14112,2002-10-18,"gregkinnear","paulschrader",1,1,104,7e+06,2062066,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"274",2137,"time changer",45767,2002-10-25,"ddavidmorin","richchristiano",0,1,95,825000,1500711,"Q4",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"275",1565,"sonny",28028,2002-10-26,"jamesfranco","nicolascage",1,0,110,4e+06,17639,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"276",911,"i spy",8427,2002-10-31,"eddiemurphy","bettythomas",2,0,97,7e+07,33561137,"Q4",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
"277",2049,"the santa clause 2",9021,2002-10-31,"timallen","michaellembeck",0,0,104,6.5e+07,139225854,"Q4",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"278",342,"carrie",7342,2002-11-04,"angelabettis","davidcarson",0,1,132,3e+07,35266619,"Q4",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1
"279",1758,"the dead zone",352128,2002-11-05,"anthonymichaelhall","robertlieberman",0,0,83,1e+07,20766000,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1
"280",617,"femme fatale",9280,2002-11-06,"rebeccaromijn","briandepalma",0,1,114,3.5e+07,6630252,"Q4",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0
"281",28,"8 mile",65,2002-11-08,"eminem","curtishanson",0,1,110,4.1e+07,116724075,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
"282",1420,"revolution 9",326890,2002-11-15,"michaelrisley","timmccann",0,0,90,350000,9118,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
