"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1430","road trip","9285",2000-05-19,"breckinmeyer",2,93,1.6e+07,68525609,"Q2",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1553","small time crooks","10569",2000-05-19,"woodyallen",5,94,1.8e+07,17266359,"Q2",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"243","big momma s house","9600",2000-05-31,"martinlawrence",6,98,3.3e+07,117559438,"Q2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"758","groove","23655",2000-06-08,"hamishlinklater",1,86,5e+05,1115313,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"114","amores perros","55",2000-06-16,"gaelgarcíabernal",3,154,2e+06,5383834,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"293","boys and girls","10571",2000-06-16,"freddieprinzejr",3,94,1.6e+07,21799652,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1995","the patriot","2024",2000-06-28,"melgibson",7,165,1.1e+08,113330342,"Q2",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
"1870","the in crowd","36047",2000-07-19,"susanward",1,105,1.5e+07,5217498,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2265","what lies beneath","2655",2000-07-21,"harrisonford",8,130,9e+07,155464351,"Q3",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"2134","thomas and the magic railroad","16110",2000-07-26,"alecbaldwin",2,85,1.9e+07,15911332,"Q3",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1242","nutty professor ii the klumps","12107",2000-07-27,"eddiemurphy",8,106,8.4e+07,123307945,"Q3",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"442","coyote ugly","6282",2000-07-30,"piperperabo",1,100,4.5e+07,60786269,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"1571","space cowboys","5551",2000-07-31,"clinteastwood",11,130,6.5e+07,90454043,"Q3",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
