"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1006","last orders","14778",2001-09-10,"michaelcaine",8,109,1.2e+07,2326407,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1933","the lost skeleton of cadavra","18841",2001-09-12,"faymasterson",1,90,1e+05,110536,"Q1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"783","hardball","20857",2001-09-14,"keanureeves",8,106,2.1e+07,40222729,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1816","the glass house","2176",2001-09-14,"leeleesobieski",3,106,2.2e+07,17951431,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2323","zoolander","9398",2001-09-28,"benstiller",6,89,2.8e+07,45172250,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1115","max keeble s big move","34549",2001-10-05,"alexdlinz",1,86,1.2e+07,17292381,"Q4",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"87","all the queen s men","31668",2001-10-14,"mattleblanc",2,99,1.5e+07,22723,"Q4",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"730","go","37959",2001-10-20,"yosukekubozuka",1,122,6500000,16875273,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"988","k pax","167",2001-10-22,"jeffbridges",8,120,4.8e+07,50315140,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1029","life as a house","11457",2001-10-25,"kevinkline",3,125,1.8e+07,15652637,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1265","on the line","34043",2001-10-26,"lancebass",1,85,1e+07,4365455,"Q4",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1511","shallow hal","9889",2001-11-01,"gwynethpaltrow",3,114,4e+07,70836296,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"590","everything put together","81220",2001-11-02,"radhamitchell",1,87,5e+05,34513500.7541806,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1659","tangled","51986",2001-11-02,"rachaelleighcook",2,100,2.6e+08,200821936,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"981","kiss kiss bang bang ","22615",2001-11-07,"stellanskarsgård",1,101,1.5e+07,4235837,"Q4",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"2108","the wash","13408",2001-11-16,"drdre",1,93,4e+06,10097096,"Q4",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"660","frailty","12149",2001-11-17,"billpaxton",2,100,1.1e+07,13110448,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"1588","spy game","1535",2001-11-18,"robertredford",3,126,9e+07,62362560,"Q4",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"252","black knight","11469",2001-11-21,"martinlawrence",6,95,3.5e+07,33422806,"Q4",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1282","out cold","14369",2001-11-21,"jasonlondon",1,89,1.1e+07,13906394,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1675","texas rangers","13503",2001-11-30,"jamesvanderbeek",3,110,3.8e+07,623374,"Q4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"1983","the order","37632",2001-12-10,"jeanclaudevandamme",6,89,3.5e+07,7659747,"Q3",0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"34","a beautiful mind","453",2001-12-11,"russellcrowe",6,135,7.8e+07,170708996,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"67","ali","8489",2001-12-11,"willsmith",1,157,1.09e+08,58183966,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1930","the lord of the rings the fellowship of the ring","120",2001-12-18,"elijahwood",2,178,1.09e+08,315544750,"Q4",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"946","joe somebody","12312",2001-12-21,"timallen",3,99,3.8e+07,22770864,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1941","the majestic","11086",2001-12-21,"jimcarrey",7,152,7.2e+07,27796042,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"862","i am sam","10950",2001-12-28,"seanpenn",3,132,2.2e+07,40270895,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"394","city of ghosts","31932",2002-01-01,"mattdillon",4,116,17500000,325491,"Q2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1175","morvern callar","18602",2002-01-01,"samanthamorton",1,97,6e+06,267194,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1392","real women have curves","30309",2002-01-01,"americaferrera",1,86,3e+06,5853194,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1844","the heart of me","24985",2002-01-01,"helenabonhamcarter",2,96,7e+06,196067,"Q2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2064","the slaughter rule","21801",2002-01-01,"ryangosling",4,112,5e+05,13134,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1273","orange county","11857",2002-01-10,"colinhanks",2,82,1.8e+07,41059716,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"273","blue car","46989",2002-01-11,"margaretcolin",1,92,1e+06,464126,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1492","secretary","11013",2002-01-11,"jamesspader",4,104,4e+06,4046737,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"236","better luck tomorrow","14290",2002-01-12,"parryshen",1,101,250000,3802390,"Q2",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"1116","may","10894",2002-01-13,"angelabettis",2,93,1750000,145540,"Q1",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"1210","narc","11022",2002-01-14,"jasonpatric",2,105,7500000,10465659,"Q4",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"1727","the business of fancydancing","40920",2002-01-14,"evanadams",1,103,2e+05,174682,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"1096","manito","185465",2002-01-15,"frankyg",1,78,25000,34513500.7541806,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1886","the jimmy show","99826",2002-01-16,"frankwhaley",1,96,1e+06,703,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1557","snow dogs","11888",2002-01-18,"jimbelushi",1,99,3.2e+07,81150692,"Q1",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1616","stranded","112648",2002-01-20,"icet",1,96,1900000,34513500.7541806,"Q3",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1545","slackers","20009",2002-02-01,"jasonsegel",1,86,1.1e+07,4814244,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1379","rabbit proof fence","9555",2002-02-04,"everlynsampi",1,94,7e+06,6199600,"Q4",0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"383","cidade de deus","598",2002-02-05,"alexandrerodrigues",1,130,3300000,7563397,"Q1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"1375","queen of the damned","11979",2002-02-10,"stuarttownsend",2,101,3.5e+07,30307804,"Q1",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"1193","my big fat greek wedding","8346",2002-02-22,"niavardalos",2,95,5e+06,241438208,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2261","we were soldiers","10590",2002-03-01,"melgibson",7,138,7e+07,78120196,"Q1",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"79","all about the benjamins","13950",2002-03-08,"icecube",7,95,1.4e+07,25482931,"Q1",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"865","ice age","425",2002-03-10,"rayromano",4,81,6.5e+07,176387405,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1412","resident evil","1576",2002-03-15,"millajovovich",3,100,3.5e+07,40119709,"Q1",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"1567","sorority boys","6020",2002-03-22,"barrywatson",1,93,1.2e+07,10198766,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1609","stolen summer","39541",2002-03-22,"aidanquinn",1,91,1500000,119841,"Q1",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"488","death to smoochy","9275",2002-03-28,"robinwilliams",7,109,5e+07,8355815,"Q1",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"198","barbershop","10611",2002-04-01,"icecube",7,102,1.2e+07,75781642,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"814","high crimes","11560",2002-04-03,"ashleyjudd",4,115,4.2e+07,41543207,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"1185","murder by numbers","11892",2002-04-19,"sandrabullock",6,120,5e+07,31874869,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"503","deuces wild","13201",2002-05-03,"stephendorff",3,96,1e+07,6044618,"Q2",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"893","interview with the assassin","36584",2002-05-09,"dylanhaggerty",1,88,750000,47329,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1971","the new guy","10985",2002-05-10,"djqualls",1,88,1.3e+07,28972187,"Q2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2209","unfaithful","2251",2002-05-10,"richardgere",3,124,5e+07,52752475,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1385","raising victor vargas","25461",2002-05-16,"victorrasuk",1,88,8e+05,2073984,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1009","l auberge espagnole","1555",2002-05-17,"romainduris",1,122,5900000,3895664,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1865","the importance of being earnest","9026",2002-05-17,"ruperteverett",1,97,1.5e+07,8378141,"Q2",0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"139","ararat","16351",2002-05-20,"simonabkarian",1,115,15500000,1693000,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"891","insomnia","320",2002-05-24,"alpacino",8,118,4.6e+07,67263182,"Q2",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"1582","spirit stallion of the cimarron","9023",2002-05-24,"mattdamon",5,83,8e+07,73215310,"Q2",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2256","welcome to collinwood","9260",2002-05-24,"williamhmacy",2,86,1.2e+07,378650,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2201","undercover brother","12277",2002-05-31,"eddiegriffin",4,86,2.5e+07,38230435,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1586","spun","12079",2002-06-01,"jasonschwartzman",2,101,4500000,410241,"Q1",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"1351","poolhall junkies","14293",2002-06-07,"rickyschroder",1,99,4e+06,563711,"Q1",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1754","the dangerous lives of altar boys","16857",2002-06-14,"emilehirsch",2,104,1.2e+07,1779284,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1151","minority report","180",2002-06-20,"tomcruise",5,145,1.02e+08,132024714,"Q2",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
"965","juwanna mann","35696",2002-06-21,"miguelanúñez",1,91,15600000,13571817,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1038","lilo stitch","11544",2002-06-21,"chrissanders",1,85,8e+07,145771527,"Q2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1633","sunshine state","57022",2002-06-21,"alanking",1,141,5600000,3064356,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"810","hey arnold the movie","17710",2002-06-28,"spencerklein",1,76,1e+07,13684949,"Q2",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"774","halloween resurrection","11442",2002-07-01,"jamieleecurtis",1,94,1.5e+07,30259652,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1037","like mike","21972",2002-07-03,"shadmoss",2,99,3e+07,51432423,"Q3",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1403","reign of fire","6278",2002-07-12,"christianbale",3,101,6e+07,43061982,"Q1",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"966","k 19 the widowmaker","8665",2002-07-19,"harrisonford",8,138,9e+07,35168966,"Q3",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"167","austin powers in goldmember","818",2002-07-26,"mikemyers",3,94,6.3e+07,213117789,"Q3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1748","the country bears","18357",2002-07-26,"haleyjoelosment",1,88,2e+07,16988996,"Q3",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1753","the crocodile hunter collision course","17043",2002-07-26,"steveirwin",1,90,12500000,28436931,"Q3",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1105","martin lawrence live runteldat","20337",2002-08-01,"martinlawrence",6,113,3e+06,19184820,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1952","the master of disguise","13908",2002-08-02,"danacarvey",1,80,1.6e+07,40363530,"Q3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","blood work","9573",2002-08-04,"clinteastwood",11,110,5e+07,26199517,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"384","cinderella","105875",2002-08-06,"tonyail",1,48,9.5e+07,201151353,"Q1",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591","spy kids 2 the island of lost dreams","9488",2002-08-07,"antoniobanderas",5,100,3.8e+07,85846296,"Q3",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"274","blue crush","9266",2002-08-08,"katebosworth",2,104,3e+07,40118420,"Q3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615","feardotcom","9544",2002-08-09,"stephendorff",3,101,4e+07,13208023,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1683","the adventures of pluto nash","11692",2002-08-15,"eddiemurphy",8,95,1e+08,4411102,"Q3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1837","the guru","9027",2002-08-21,"jimimistry",1,91,1.1e+07,3051221,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"393","city by the sea","13536",2002-09-06,"robertdeniro",12,108,4e+07,22433915,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"1170","moonlight mile","31005",2002-09-09,"jakegyllenhaal",2,117,2.1e+07,6830957,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1113","max","13560",2002-09-10,"johncusack",7,106,2e+07,42656255,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"692","funny ha ha","33693",2002-09-20,"katedollenmayer",1,85,30000,77070,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1127","men with brooms","34341",2002-09-20,"paulgross",1,102,7500000,4239767,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007","the pianist","423",2002-09-24,"adrienbrody",1,150,3.5e+07,32519322,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"1647","sweet home alabama","11529",2002-09-26,"reesewitherspoon",3,108,3.8e+07,127214072,"Q3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2099","the tuxedo","10771",2002-09-27,"jackiechan",3,98,6e+07,50586000,"Q3",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"1398","red dragon","9533",2002-09-29,"anthonyhopkins",5,124,7.8e+07,92955420,"Q4",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"278","boat trip","9557",2002-10-01,"cubagoodingjr",5,94,1.5e+07,8586376,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1354","possession","30072",2002-10-02,"gwynethpaltrow",3,102,2.5e+07,10103647,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"949","jonah a veggietales movie","15173",2002-10-04,"philvischer",1,82,1.4e+07,25571351,"Q4",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"310","brown sugar","37964",2002-10-05,"sanaalathan",1,109,8e+06,27362712,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"291","bowling for columbine","1430",2002-10-09,"michaelmoore",4,120,3e+06,21576018,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2046","the rules of attraction","1809",2002-10-11,"jamesvanderbeek",3,110,4e+06,6525762,"Q4",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2180","tuck everlasting","13768",2002-10-11,"alexisbledel",2,90,1.5e+07,19161999,"Q4",0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"32","abandon","15992",2002-10-14,"katieholmes",2,99,2.5e+07,10719367,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"169","auto focus","14112",2002-10-18,"gregkinnear",2,104,7e+06,2062066,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2137","time changer","45767",2002-10-25,"ddavidmorin",1,95,825000,1500711,"Q4",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1565","sonny","28028",2002-10-26,"jamesfranco",2,110,4e+06,17639,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"911","i spy","8427",2002-10-31,"eddiemurphy",8,97,7e+07,33561137,"Q4",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"2049","the santa clause 2","9021",2002-10-31,"timallen",3,104,6.5e+07,139225854,"Q4",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","carrie","7342",2002-11-04,"angelabettis",2,132,3e+07,35266619,"Q4",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"1758","the dead zone","352128",2002-11-05,"anthonymichaelhall",2,83,1e+07,20766000,"Q4",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"617","femme fatale","9280",2002-11-06,"rebeccaromijn",1,114,3.5e+07,6630252,"Q4",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"28","8 mile","65",2002-11-08,"eminem",1,110,4.1e+07,116724075,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1420","revolution 9","326890",2002-11-15,"michaelrisley",1,90,350000,9118,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"511","die another day","36669",2002-11-17,"piercebrosnan",10,133,1.42e+08,160942139,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1307","people i know","11458",2002-11-21,"alpacino",8,100,2e+07,121972,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"1772","the emperor s club","17187",2002-11-22,"kevinkline",3,108,12500000,14060950,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1654","taken","150004",2002-12-02,"dakotafanning",2,877,2.5e+07,145000989,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36","about schmidt","2755",2002-12-13,"jacknicholson",8,125,3e+07,65005217,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1581","spider","9613",2002-12-13,"ralphfiennes",5,98,1e+07,1641788,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"1598","star trek nemesis","201",2002-12-13,"patrickstewart",4,117,6e+07,43254409,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"1208","nancy drew","109797",2002-12-15,"maggielawson",1,87,2e+07,25584685,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"134","antwone fisher","13435",2002-12-19,"derekluke",1,120,12500000,21078145,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"2194","two weeks notice","2642",2002-12-19,"sandrabullock",6,101,6e+07,93354918,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1322","pinocchio","10599",2002-12-25,"robertobenigni",1,108,2289247,84300000,"Q1",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1853","the hours","590",2002-12-27,"nicolekidman",5,114,2.5e+07,41675994,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"426","confessions of a dangerous mind","4912",2002-12-30,"samrockwell",2,113,2.9e+07,16007718,"Q4",0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"1846","the hebrew hammer","19187",2003-01-01,"adamgoldberg",1,85,1300000,77755,"Q4",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"962","just married","12090",2003-01-09,"ashtonkutcher",3,95,1.9e+07,56127162,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1963","the mudge boy","26899",2003-01-17,"emilehirsch",2,94,8e+05,62544,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1318","pieces of april","1550",2003-01-19,"katieholmes",2,81,3e+05,2528664,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2182","tupac resurrection","21525",2003-01-23,"tupacamarushakur",1,112,3e+05,7718961,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"2262","whale rider","1088",2003-01-30,"keishacastlehughes",1,101,4300000,20779666,"Q2",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"623","final destination 2","9358",2003-01-31,"alilarter",1,90,2.6e+07,46896664,"Q1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"1892","the jungle book 2","14873",2003-02-07,"johngoodman",1,72,2e+07,47901582,"Q1",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470","daredevil","9480",2003-02-14,"benaffleck",10,103,8e+07,102543518,"Q1",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
"1252","old school","11635",2003-02-21,"lukewilson",3,91,2.4e+07,75155000,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1918","the life of david gale","11615",2003-02-21,"kevinspacey",4,130,5e+07,19694635,"Q1",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"1202","my life without me","20",2003-03-07,"sarahpolley",1,106,2500000,432360,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1858","the hunted","10632",2003-03-11,"tommyleejones",5,94,5.5e+07,34234008,"Q1",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"56","agent cody banks","10923",2003-03-14,"frankiemuniz",3,102,2.5e+07,47545060,"Q1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2288","willard","10929",2003-03-14,"crispinglover",2,100,2e+07,6882696,"Q1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2263","what a girl wants","10735",2003-03-27,"amandabynes",1,105,2.5e+07,35990505,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1746","the core","9341",2003-03-28,"aaroneckhart",3,136,8.5e+07,31111260,"Q1",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"1824","the good thief","6016",2003-04-03,"nicknolte",3,108,3e+07,3517797,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"551","dysfunktional family","17995",2003-04-04,"eddiegriffin",4,89,3e+06,2255000,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"844","house of 1000 corpses","2662",2003-04-11,"sidhaig",1,89,7e+06,12634962,"Q2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"845","house of the dead","11059",2003-04-11,"jonathancherry",1,90,7e+06,10199354,"Q4",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"109","a mighty wind","13370",2003-04-16,"bobbalaban",1,91,6e+06,17583468,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"282","bon voyage","14652",2003-04-16,"grégoriderangère",1,114,2e+07,2353728,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2030","the real cancun","19153",2003-04-23,"lauraramsey",1,96,4e+06,3816594,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"430","confidence","10743",2003-04-25,"edwardburns",3,97,1.5e+07,12212417,"Q2",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"461","daddy day care","10708",2003-05-03,"eddiemurphy",8,92,6e+07,104148781,"Q2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565","elephant","1807",2003-05-18,"alexfrost",1,81,3e+06,1266955,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"1506","shade","14576",2003-05-18,"stuarttownsend",2,101,6800000,25032,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"1649","swimming pool","302",2003-05-18,"charlotterampling",1,102,7800000,10130108,"Q3",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"825","hollywood homicide","11375",2003-06-09,"harrisonford",8,116,7.5e+07,30207785,"Q2",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1018","les triplettes de belleville","9662",2003-06-11,"béatricebonifassi",1,80,2e+06,7301288,"Q4",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"754","grand theft parsons","16433",2003-06-18,"johnnyknoxville",1,88,1200000,34513500.7541806,"Q2",0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"855","hulk","1927",2003-06-19,"ericbana",1,138,1.37e+08,132177234,"Q2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"1673","terminator 3 rise of the machines","296",2003-07-02,"arnoldschwarzenegger",9,109,1.7e+08,150358296,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
