"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime","cleaned title"
"10062","10027","45000000","action","unleashed","Canal Plus",2005-02-02,50871113,103,"unleashed"
"10069","1279","1000000","drama","사마리아","Kim Ki-Duk Film",2004-02-10,0,95,"사마리아"
"10070","1895","113000000","science fiction","star wars episode iii revenge of the sith","Lucasfilm",2005-05-17,8.5e+08,140,"starwarsepisodeiiirevengeofthesith"
"10071","9981","45000000","romance","kicking screaming","Universal Pictures",2005-05-13,56070433,95,"kickingscreaming"
"10072","4379","43000000","romance","monster in law","New Line Cinema",2005-05-13,154749918,101,"monsterinlaw"
"10075","56946","0","drama","vodka lemon","Paradise Films",2003-11-21,0,87,"vodkalemon"
"10076","11019","0","documentary","deep blue","BBC Worldwide",2003-05-18,0,83,"deepblue"
"10078","14694","0","action","the snow walker",NA,2003-01-01,0,103,"thesnowwalker"
"10082","34856","0","action","leui ting jin ging","China Film Co-Production Corporation",2000-12-21,0,92,"leuitingjinging"
"10083","46112","0","comedy","dawg",NA,2002-02-21,0,83,"dawg"
"10084","27","1000000","drama","9 songs","Revolution Films",2004-07-16,1574623,66,"9songs"
"10086","25649","0","drama","나쁜 남자","LJ Film",2002-01-11,0,100,"나쁜남자"
"10087","19398","0","drama","simon","Fortissimo Films",2004-09-30,0,102,"simon"
"10090","953","75000000","family","madagascar","DreamWorks SKG",2005-05-25,532680671,86,"madagascar"
"10091","16605","0","drama","somersault","New South Wales Film & Television Office",2004-06-19,0,105,"somersault"
"10094","14358","0","documentary","mad hot ballroom",NA,2005-05-13,0,105,"madhotballroom"
"10095","26825","0","documentary","tell them who you are",NA,2004-09-06,0,95,"tellthemwhoyouare"
"10096","12700","30000000","horror","dominion prequel to the exorcist","Morgan Creek Productions",2005-05-20,251495,117,"dominionprequeltotheexorcist"
"10097","9291","82000000","comedy","the longest yard","Paramount Pictures",2005-05-19,190320568,113,"thelongestyard"
"10098","19316","0","comedy","saving face",NA,2004-09-12,0,91,"savingface"
"10100","921","88000000","romance","cinderella man","Miramax Films",2005-06-02,108539911,144,"cinderellaman"
"10101","9779","25000000","drama","the sisterhood of the traveling pants","DiNovi Pictures",2005-06-01,39053061,119,"thesisterhoodofthetravelingpants"
"10102","9787","25000000","drama","lords of dogtown","Columbia Pictures",2005-06-03,13411957,107,"lordsofdogtown"
"10103","16932","0","comedy","après vous ","Gimages",2003-12-17,0,110,"aprèsvous"
"10104","23825","0","action","rock school","9.14 Pictures",2005-02-27,0,93,"rockschool"
"10105","787","110000000","action","mr mrs smith","Weed Road Pictures",2005-06-07,478207520,120,"mrmrssmith"
"10106","14199","50000000","adventure","the adventures of sharkboy and lavagirl","Troublemaker Studios",2005-06-10,69425966,92,"theadventuresofsharkboyandlavagirl"
"10107","10226","0","horror","haute tension","Lionsgate",2003-06-18,0,91,"hautetension"
"10108","21295","27000000","comedy","the honeymooners","Paramount Pictures",2005-06-10,0,90,"thehoneymooners"
"10109","20651","6250000","drama","parineeta",NA,2005-06-10,0,131,"parineeta"
"10111","9528","0","drama","ladies in lavender",NA,2004-06-14,20377075,104,"ladiesinlavender"
"10112","12109","2000000","drama","it s all gone pete tong",NA,2004-09-12,120620,90,"itsallgonepetetong"
"10115","20941","0","drama","voces inocentes","A Band Apart",2004-11-05,837000,120,"vocesinocentes"
"10118","65579","0","drama","dirty filthy love","Granada Television",2005-05-24,0,93,"dirtyfilthylove"
"10123","272","150000000","action","batman begins","DC Comics",2005-06-10,374218673,140,"batmanbegins"
"10124","5845","0","action","aragami",NA,2003-03-27,0,76,"aragami"
"10125","15767","19500000","action","gojira fainaru uôzu","Toho Film (Eiga) Co. Ltd.",2004-12-04,0,125,"gojirafainaruuôzu"
"10126","44524","0","romance","rois et reine","Why Not Productions",2004-09-03,0,150,"roisetreine"
"10127","15648","0","comedy","the perfect man","Universal Pictures",2005-06-17,0,100,"theperfectman"
"10128","9709","0","drama","my summer of love",NA,2004-08-20,0,86,"mysummeroflove"
"10129","29080","0","drama","heights","Merchant Ivory Productions",2005-01-01,0,93,"heights"
"10130","10274","0","thriller","the deal","Front Street Pictures",2005-06-17,0,107,"thedeal"
"10131","45881","0","romance","the bridge of san luis rey",NA,2004-01-01,0,120,"thebridgeofsanluisrey"
"10132","25248","0","comedy","saint ralph","Alliance Atlantis Communications",2004-09-11,0,95,"saintralph"
"10133","11451","50000000","comedy","herbie fully loaded","Walt Disney Pictures",2005-06-22,66002004,101,"herbiefullyloaded"
"10134","25312","0","drama","yes","GreeneStreet Films",2005-08-05,0,100,"yes"
"10135","11683","15000000","horror","land of the dead","Universal Pictures",2005-06-24,46770602,93,"landofthedead"
"10136","9722","85000000","comedy","bewitched","Columbia Pictures Corporation",2005-06-21,131426169,102,"bewitched"
"10137","2287","0","documentary","rize","David LaChapelle Studios",2005-01-15,0,86,"rize"
"10138","18497","0","adventure","exils",NA,2004-05-19,0,104,"exils"
"10139","47924","0","comedy","home movie",NA,2001-01-01,0,66,"homemovie"
"10143","1382","0","comedy","me and you and everyone we know","IFC Films",2005-06-17,0,90,"meandyouandeveryoneweknow"
"10144","9534","6000000","thriller","crimen ferpecto","Sogecine",2004-09-10,0,105,"crimenferpecto"
"10145","33908","0","horror","쓰리 몬스터","Applause Pictures",2004-09-02,0,125,"쓰리몬스터"
"10146","14653","0","drama","ils se marièrent et eurent beaucoup d enfants",NA,2004-08-25,0,100,"ilssemarièrenteteurentbeaucoupdenfants"
"10147","9976","0","horror","satan s little helper","Intrinsic Value Films",2004-01-01,0,100,"satanslittlehelper"
"10148","276","0","drama","die fetten jahre sind vorbei","Y3 Film",2004-10-25,0,127,"diefettenjahresindvorbei"
"10153","25426","0","action","coronado",NA,2003-09-25,0,84,"coronado"
"10154","38046","2000000","action","retrograde","Gruppo Minerva International",2004-11-02,0,93,"retrograde"
"10155","24703","0","documentary","trekkies 2",NA,2004-04-20,0,93,"trekkies2"
"10156","2151","0","comedy","man with the screaming brain","ApolloProScreen",2005-04-03,0,90,"manwiththescreamingbrain"
"10170","2095","0","thriller","desert saints","City Heat Productions",2002-03-10,0,88,"desertsaints"
"10171","18503","0","comedy","caterina va in città","Pretty Pictures",2003-10-24,0,105,"caterinavaincittà"
"10175","34308","12000000","drama","modigliani","Coproducción GB - USA - Francia - Alemania - Italia- Rumanía",2004-05-18,0,128,"modigliani"
"10177","11588","8800000","thriller","the i inside","Miramax Films",2004-01-15,0,90,"theiinside"
"10178","74","132000000","adventure","war of the worlds","Paramount Pictures",2005-06-28,591739379,116,"waroftheworlds"
"10183","1667","8000000","documentary","la marche de l empereur","Wild Bunch",2005-01-26,127392239,80,"lamarchedelempereur"
"10184","78293","0","crime","à tout de suite","CinéCinéma",2004-12-08,0,95,"àtoutdesuite"
"10186","13014","0","documentary","the god who wasn t there",NA,2005-05-21,0,62,"thegodwhowasntthere"
"10188","7233","45000000","comedy","rebound","Twentieth Century Fox Film Corporation",2005-07-01,16809014,103,"rebound"
"10189","78344","0","comedy","ha kochavim shel shlomi","United King Films",2003-04-03,0,94,"hakochavimshelshlomi"
"10191","9009","30000000","drama","dark water","Vertigo Entertainment",2005-06-27,25473093,105,"darkwater"
"10192","1553","0","drama","de battre mon cœur s est arrêté","Why Not Productions",2005-02-17,0,107,"debattremoncœursestarrêté"
"10193","9738","100000000","action","fantastic four","Twentieth Century Fox Film Corporation",2005-06-29,330579719,106,"fantasticfour"
"10194","14278","300000","documentary","murderball","Thinkfilm",2005-07-22,1750211,88,"murderball"
"10195","55650","0","music","saraband","Sveriges Television (SVT)",2003-12-01,0,120,"saraband"
"10196","125360","0","romance","julie johnson","Shooting Gallery",2001-01-01,0,93,"juliejohnson"
"10197","9522","40000000","comedy","wedding crashers","New Line Cinema",2005-07-14,285176741,119,"weddingcrashers"
"10198","14922","0","comedy","happy endings","Lions Gate Films",2005-01-20,0,128,"happyendings"
"10204","1826","13000000","comedy","les poupées russes","StudioCanal",2005-06-15,23727301,129,"lespoupéesrusses"
"10207","36484","0","comedy","rick",NA,2003-01-01,0,100,"rick"
"10211","21115","6000000","action","바람의 파이터",NA,2004-08-12,0,120,"바람의파이터"
"10212","36401","0","war","pornografia","Canal+",2003-09-19,0,113,"pornografia"
"10213","38530","0","drama","symetria",NA,2003-09-16,0,99,"symetria"
"10214","38516","0","drama","karol un uomo diventato papa","TAO Film",2005-04-18,0,155,"karolunuomodiventatopapa"
"10216","10476","8000000","drama","hustle flow","MTV Films",2005-07-22,23563727,116,"hustleflow"
"10220","31063","0","comedy","the calcium kid","Universal Pictures",2004-01-01,0,89,"thecalciumkid"
"10221","33693","0","drama","funny ha ha",NA,2002-09-20,76901,85,"funnyhaha"
"10222","1635","126000000","action","the island","DreamWorks SKG",2005-07-20,162949164,136,"theisland"
"10223","13341","30000000","comedy","bad news bears","Paramount Pictures",2005-07-22,34252847,113,"badnewsbears"
"10224","1696","0","drama","the devil s rejects","Lions Gate Films",2005-07-22,0,107,"thedevilsrejects"
"10225","1665","0","drama","last days","HBO Films",2005-05-13,1928985,96,"lastdays"
"10226","9775","0","drama","noviembre","Alta Films",2003-09-26,0,104,"noviembre"
"10227","11459","35000000","adventure","sky high","Walt Disney Pictures",2005-07-29,86369815,100,"skyhigh"
"10228","10048","135000000","action","stealth","Laura Ziskin Productions",2005-07-28,76932943,121,"stealth"
"10229","11648","30000000","romance","must love dogs","Team Todd",2005-07-21,58405313,98,"mustlovedogs"
"10230","15258","0","comedy","the aristocrats","Mighty Cheese Productions",2005-01-01,0,89,"thearistocrats"
"10237","12497","0","comedy","πολίτικη κουζίνα","Village Roadshow Productions",2003-10-24,0,108,"πολίτικηκουζίνα"
"10239","32242","0","mystery","폰",NA,2002-07-26,0,100,"폰"
"10240","37632","0","adventure","the order","777 Films Corporation",2001-12-10,0,89,"theorder"
"10241","16320","39000000","science fiction","serenity","Universal Pictures",2005-08-25,38869464,119,"serenity"
"10242","19112","0","documentary","the end of suburbia oil depletion and the collapse of the american dream",NA,2004-05-05,0,78,"theendofsuburbiaoildepletionandthecollapseoftheamericandream"
"10244","193661","0","comedy","the talent given us","Noble Media",2004-06-11,0,98,"thetalentgivenus"
"10246","308","10000000","comedy","broken flowers","Bac Films",2005-05-17,45742101,105,"brokenflowers"
"10254","26579","74050","drama","the heart is deceitful above all things","Wild Bunch",2004-09-15,176153,98,"theheartisdeceitfulaboveallthings"
"10256","18882","7500000","action","man thing","Lions Gate Films",2005-04-21,143000,97,"manthing"
"10258","6519","50000000","action","the dukes of hazzard","Village Roadshow Pictures",2005-08-05,110803676,104,"thedukesofhazzard"
"10259","13919","0","comedy","the chumscrubber","Lawrence Bender Productions",2005-06-08,0,108,"thechumscrubber"
"10260","25956","0","drama","secuestro express","Tres Malandros",2005-01-01,0,86,"secuestroexpress"
"10261","1444","0","comedy","junebug",NA,2005-08-03,0,106,"junebug"
"10262","11453","22000000","comedy","deuce bigalow european gigolo","Columbia Pictures Corporation",2005-08-06,22400154,83,"deucebigaloweuropeangigolo"
"10263","9913","43000000","drama","the skeleton key","Universal Pictures",2005-07-29,91974818,104,"theskeletonkey"
"10264","8292","45000000","action","four brothers","Paramount Pictures",2005-08-11,92374674,109,"fourbrothers"
"10265","13922","80000000","action","the great raid","Lawrence Bender Productions",2005-08-12,10166502,132,"thegreatraid"
"10266","24461","0","drama","asylum","Paramount Classics",2005-09-09,0,99,"asylum"
"10267","14166","0","comedy","pretty persuasion","REN-Mar Studios",2005-01-22,0,105,"prettypersuasion"
"10268","501","0","documentary","grizzly man","Discovery Docs",2005-08-12,0,103,"grizzlyman"
"10270","28201","0","comedy","the girl in the café",NA,2005-06-25,0,94,"thegirlinthecafé"
"10271","18165","0","drama","the 24th day","Nick Stagliano",2004-05-06,0,96,"the24thday"
"10277","37284","2000000","horror","아카시아","Show East",2003-10-17,0,102,"아카시아"
"10278","37254","0","horror","mermaid chronicles part 1 she creature","Columbia TriStar",2001-12-20,0,91,"mermaidchroniclespart1shecreature"
"10279","18976","0","war","attila","Alphaville Films",2001-01-01,0,177,"attila"
"10281","17110","0","science fiction","one point o",NA,2004-03-19,0,92,"onepointo"
"10282","25975","0","documentary","my date with drew","rusty bear entertainment",2005-08-05,0,90,"mydatewithdrew"
"10284","11328","0","crime","pusher ii","NWR Film Productions",2004-12-25,0,100,"pusherii"
"10286","15907","12000000","adventure","duma","John Wells Productions",2005-04-22,0,100,"duma"
"10288","46825","0","crime","lila dit ça","Pyramide Productions",2004-11-01,0,89,"liladitça"
"10292","37270","0","comedy","the third wheel",NA,2002-05-31,0,87,"thethirdwheel"
"10293","27217","0","drama","hafið",NA,2002-09-13,0,109,"hafið"
"10296","306323","0","drama","koti ikävä","Making Movies",2005-09-12,0,85,"kotiikävä"
"10300","12147","0","drama","fickende fische",NA,2002-08-15,0,103,"fickendefische"
"10301","31977","0","drama","black","SLB Films Pvt. Ltd.",2005-02-04,733094,122,"black"
"10302","6957","26000000","comedy","the 40 year old virgin","Universal Pictures",2005-08-11,109449237,116,"the40yearoldvirgin"
"10303","1917","0","thriller","qui a tué bambi ",NA,2003-12-24,0,126,"quiatuébambi"
"10305","16764","0","mystery","the toolbox murders","Alpine Pictures",2004-11-12,0,95,"thetoolboxmurders"
"10306","11460","26000000","horror","red eye","DreamWorks SKG",2005-08-04,57891803,85,"redeye"
"10307","33459","0","drama","lightning bug","Dry County Films",2004-04-09,0,0,"lightningbug"
"10309","14134","0","drama","main hoon na","Red Chillies Entertainment",2004-04-30,0,175,"mainhoonna"
"10312","35304","0","drama","fröken sverige",NA,2004-03-09,0,92,"frökensverige"
"10314","445","0","mystery","caché","Les Films du Losange",2005-05-02,3.6e+07,117,"caché"
"10318","21290","0","adventure","strings",NA,2004-10-24,0,88,"strings"
"10321","17186","0","action","supercross","Tag Entertainment",2005-08-16,3102550,80,"supercross"
"10322","14175","35000000","animation","valiant","Vanguard Films",2005-03-25,19478106,76,"valiant"
"10323","4442","88000000","adventure","the brothers grimm","The Weinstein Company",2005-08-26,105316267,118,"thebrothersgrimm"
"10326","44413","1400000","drama","la niña santa","R&C Produzioni",2004-05-06,0,106,"laniñasanta"
"10327","65513","0","drama","les revenants","Gimages Développement",2004-10-27,0,102,"lesrevenants"
"10328","13169","0","comedy","the baxter","IFC Films",2005-04-24,0,91,"thebaxter"
"10329","9042","30000000","action","the cave","Lakeshore Entertainment",2005-08-25,15007991,97,"thecave"
"10330","17926","9000000","comedy","undiscovered","Lakeshore Entertainment",2005-08-26,1046166,97,"undiscovered"
"10331","15022","0","comedy","dirty deeds","Thats Hollywood",2005-08-26,0,87,"dirtydeeds"
"10332","1985","25000000","drama","the constant gardener","Studio Babelsberg",2005-08-31,82466670,129,"theconstantgardener"
"10333","9335","32000000","action","transporter 2","Twentieth Century Fox Film Corporation",2005-08-02,85167639,87,"transporter2"
"10334","56214","0","comedy","margaret cho assassin",NA,2005-10-23,0,90,"margaretchoassassin"
"10335","9007","58000000","comedy","just like heaven","DreamWorks SKG",2005-09-16,102854431,95,"justlikeheaven"
"10336","9777","20000000","drama","proof","Miramax Films",2005-09-05,7535331,100,"proof"
"10337","1830","42000000","crime","lord of war","Saturn Films",2005-09-16,24127895,122,"lordofwar"
"10338","7182","0","horror","venom","Collision Entertainment",2005-09-16,0,85,"venom"
"10339","10092","1000000","horror","cry wolf","Universal Pictures",2005-09-16,10047674,90,"crywolf"
"10340","340","7000000","comedy","everything is illuminated","Stillking Films",2005-09-16,2697930,106,"everythingisilluminated"
"10341","1546","0","comedy","thumbsucker","Sony Pictures Classics",2005-01-23,1919197,96,"thumbsucker"
"10342","23703","0","family","the thing about my folks",NA,2005-01-01,0,96,"thethingaboutmyfolks"
"10343","47488","0","horror","hellbent",NA,2004-01-01,0,85,"hellbent"
"10344","15155","0","drama","g","Andrew Lauren Productions (ALP)",2002-05-10,3020784,96,"g"
"10349","65215","0","comedy","family guy presents stewie griffin the untold story","20th Century Fox Television",2005-07-23,0,88,"familyguypresentsstewiegriffintheuntoldstory"
"10352","16374","0","drama","sometimes in april","Velvet Film",2005-02-17,0,140,"sometimesinapril"
"10353","14759","0","drama","bookies",NA,2003-01-01,0,88,"bookies"
"10358","11636","0","action","新警察故事","China Film Group Corporation (CFGC)",2004-09-23,0,123,"新警察故事"
"10362","14286","0","documentary","why we fight",NA,2005-01-01,0,98,"whywefight"
"10369","8814","60000000","adventure","doom","Di Bonaventura Pictures",2005-10-20,55987321,105,"doom"
"10370","9923","50000000","action","domino","New Line Cinema",2005-09-22,22944502,127,"domino"
"10371","7553","3000000","comedy","waiting ","L.I.F.T. Production",2005-10-07,18637690,94,"waiting"
"10372","8202","62000000","action","æon flux","Paramount Pictures",2005-11-30,52304001,93,"æonflux"
"10375","1947","30000000","drama","an unfinished life","Miramax Films",2005-09-09,18618284,108,"anunfinishedlife"
"10376","9074","0","action","the man","New Line Cinema",2005-09-08,12382362,83,"theman"
"10377","16133","0","comedy","survive style 5 ","Tohokushinsha Film",2004-09-25,0,120,"survivestyle5"
"10380","49220","5600000","drama","zozo","Memfis Film",2005-08-05,0,105,"zozo"
"10381","17584","0","crime","blue hill avenue",NA,2001-01-01,0,128,"bluehillavenue"
"10383","29656","0","crime","16 years of alcohol","Tartan Works Ltd.",2003-08-14,0,102,"16yearsofalcohol"
"10384","8643","19000000","crime","the exorcism of emily rose","Lakeshore Entertainment",2005-09-09,144216468,122,"theexorcismofemilyrose"
"10385","9315","55000000","thriller","flightplan","Imagine Entertainment",2005-09-22,223387299,98,"flightplan"
"10386","3933","40000000","romance","corpse bride","Warner Bros.",2005-09-09,117195061,77,"corpsebride"
"10387","8923","0","crime","green street hooligans","Odd Lot Entertainment",2005-09-09,3154346,109,"greenstreethooligans"
"10388","59","32000000","drama","a history of violence","New Line Cinema",2005-09-23,60740827,96,"ahistoryofviolence"
"10389","257","50000000","crime","oliver twist","R.P. Productions",2005-09-23,42093706,130,"olivertwist"
"10390","15487","25000000","drama","the greatest game ever played","Walt Disney Pictures",2005-09-30,15431177,120,"thegreatestgameeverplayed"
"10391","398","7000000","crime","capote","Sony Pictures Classics",2005-09-30,49084830,114,"capote"
"10394","10254","0","crime","born to fight","Baa-Ram-Ewe",2004-08-05,0,96,"borntofight"
"10395","647","0","action","final fantasy vii advent children","Square Enix",2005-07-14,0,101,"finalfantasyviiadventchildren"
"10396","349","0","comedy","crustacés et coquillages","Bac Films",2005-03-30,0,93,"crustacésetcoquillages"
"10397","14544","0","comedy","roll bounce","Fox Searchlight Pictures",2005-09-23,0,112,"rollbounce"
"10398","20668","3000000","comedy","daltry calhoun",NA,2005-09-25,0,100,"daltrycalhoun"
"10399","11968","50000000","action","into the blue","Columbia Pictures Corporation",2005-09-30,44434439,110,"intotheblue"
"10400","27176","0","drama","the prize winner of defiance ohio",NA,2005-09-28,0,99,"theprizewinnerofdefianceohio"
"10401","14517","4000000","fantasy","mirrormask","Destination Films",2005-01-25,866999,101,"mirrormask"
"10402","88286","0","drama","kwik stop",NA,2001-04-21,0,110,"kwikstop"
"10403","33623","0","drama","l ecole","Ex Nihilo",2004-12-01,0,122,"lecole"
"10404","31227","0","drama","4","Coproduction Office",2005-01-28,0,126,"4"
"10405","120515","0","drama","book of love",NA,2004-01-18,0,83,"bookoflove"
"10408","17209","0","horror","madhouse","Lakeshore Entertainment",2004-07-30,0,91,"madhouse"
"10409","10087","0","drama","man to man","Skyline Films",2005-04-13,0,122,"mantoman"
"10412","533","30000000","adventure","the curse of the were rabbit","Aardman Animations",2005-09-04,192452832,85,"thecurseofthewererabbit"
"10413","10703","0","action","七劍","Boram Entertainment Inc.",2005-07-25,0,153,"七劍"
"10414","5236","15000000","action","kiss kiss bang bang","Silver Pictures",2005-09-05,15785148,103,"kisskissbangbang"
"10415","32237","0","horror","여고괴담 3 여우계단",NA,2003-08-01,0,97,"여고괴담3여우계단"
"10416","11344","0","action","달콤한 인생","B.O.M. Film Productions Co.",2005-03-31,0,120,"달콤한인생"
"10417","9060","0","horror","餃子","Applause Pictures",2004-08-19,0,91,"餃子"
"10420","14788","1600000","drama","bubble","Magnolia Pictures",2005-09-03,0,73,"bubble"
"10421","5471","0","action","beowulf grendel","Téléfilm Canada",2005-09-14,92076,103,"beowulfgrendel"
"10422","19082","2000000","documentary","no direction home bob dylan",NA,2005-07-21,0,208,"nodirectionhomebobdylan"
"10426","9763","30000000","drama","goal the dream begins","Touchstone Pictures",2005-06-06,27610873,118,"goalthedreambegins"
"10427","30082","1500000","drama","forty shades of blue","Charlie Guidance",2005-12-07,0,108,"fortyshadesofblue"
"10428","56475","0","documentary","touch the sound","Filmquadrat",2004-09-10,0,99,"touchthesound"
"10429","24019","60000000","drama","angels in america","Avenue Pictures Productions",2003-12-07,0,352,"angelsinamerica"
"10430","15058","1000000","drama","speak","Showtime Networks",2004-01-20,0,89,"speak"
"10432","10475","0","comedy","factotum","Celluloid Dreams",2005-04-25,0,94,"factotum"
"10435","3527","11000000","drama","don t come knocking","Sony Pictures Classics",2005-05-19,0,123,"dontcomeknocking"
"10437","11931","0","comedy","in her shoes","Fox 2000 Pictures",2005-10-07,83073883,130,"inhershoes"
"10438","32990","3500000","drama","äideistä parhain","Matila Röhr Productions (MRP)",2005-09-30,0,111,"äideistäparhain"
"10439","17010","2","comedy","hip hip hora ","Filmlance International AB",2004-01-24,0,90,"hiphiphora"
"10441","21838","0","comedy","dead breakfast","Anchor Bay Entertainment",2004-03-16,0,88,"deadbreakfast"
"10442","12612","0","thriller","freeze frame",NA,2004-05-01,0,99,"freezeframe"
"10445","10707","1500000","comedy","the squid and the whale","Destination Films",2005-10-05,11098131,81,"thesquidandthewhale"
"10446","9910","35000000","comedy","two for the money","Universal Pictures",2005-10-07,30526509,122,"twoforthemoney"
"10447","38583","0","romance","separate lies","DNA Films",2005-09-16,0,85,"separatelies"
"10448","77468","0","romance","fjorton suger","Svenska Filminstitutet (SFI)",2004-10-29,0,83,"fjortonsuger"
"10449","15493","16398","science fiction","star wreck in the pirkinning","Energia Productions",2005-08-20,0,103,"starwreckinthepirkinning"
"10451","142","14000000","drama","brokeback mountain","River Road Entertainment",2005-09-02,178043761,134,"brokebackmountain"
"10452","56778","0","documentary","blue vinyl",NA,2002-01-01,0,98,"bluevinyl"
"10453","9621","57000000","comedy","elizabethtown","Paramount Pictures",2005-10-06,52034889,123,"elizabethtown"
"10454","9701","35000000","drama","north country","Warner Bros.",2005-02-12,25224242,126,"northcountry"
"10456","3291","7000000","drama","good night and good luck ","2929 Productions",2005-09-16,54600000,93,"goodnightandgoodluck"
"10458","12920","0","drama","dreamer inspired by a true story","DreamWorks SKG",2005-09-10,0,106,"dreamerinspiredbyatruestory"
"10459","56798","0","adventure","il mestiere delle armi","StudioCanal",2001-05-11,0,105,"ilmestieredellearmi"
"10461","16608","2000000","action","the proposition","Autonomous",2005-10-06,5048693,104,"theproposition"
"10462","25517","0","drama","the gospel",NA,2005-10-07,0,105,"thegospel"
"10463","16430","0","drama","dandelion",NA,2004-01-01,0,93,"dandelion"
"10464","24408","0","war","c s a the confederate states of america","Hodcarrier Films",2004-01-01,0,89,"csatheconfederatestatesofamerica"
"10465","791","18000000","horror","the fog","Revolution Studios",2005-10-14,46201432,100,"thefog"
"10466","19965","0","drama","loggerheads",NA,2005-10-14,0,95,"loggerheads"
"10467","38828","0","action","left behind iii world at war",NA,2005-01-01,0,95,"leftbehindiiiworldatwar"
"10468","33241","0","documentary","protocols of zion","HBO/Cinemax Documentary",2005-03-04,0,95,"protocolsofzion"
"10469","53935","0","drama","living til the end",NA,2005-10-21,0,87,"livingtiltheend"
"10470","2610","10284523","comedy","shopgirl","Epsilon Motion Pictures",2005-10-21,11588205,104,"shopgirl"
"10471","21246","0","comedy","kids in america","Kids in America LLC",2005-10-21,0,91,"kidsinamerica"
"10472","9729","25000000","drama","where the truth lies","Serendipity Point Films",2005-10-07,0,107,"wherethetruthlies"
"10473","15276","0","comedy","barely legal","Motion Picture Corporation of America (MPCA)",2003-05-15,0,90,"barelylegal"
"10474","191599","0","documentary","emmanuel s gift","Lookalike Productions LLC",2005-10-21,23578,80,"emmanuelsgift"
"10475","8066","50000000","mystery","stay","Regency Enterprises",2005-09-24,8342132,99,"stay"
"10476","18428","0","action","confess",NA,2005-01-01,0,90,"confess"
"10477","1656","75000000","action","the legend of zorro","Amblin Entertainment",2005-10-24,142400065,129,"thelegendofzorro"
"10478","182097","0","romance","tahara","Open Doors Films",2002-06-06,0,86,"tahara"
"10479","41566","0","documentary","new york doll",NA,2005-01-01,0,75,"newyorkdoll"
"10480","6963","20000000","comedy","the weather man","Paramount Pictures",2005-10-20,12482775,101,"theweatherman"
"10481","215","4000000","horror","saw ii","Lions Gate Films",2005-10-28,152925093,92,"sawii"
"10482","2313","0","comedy","prime","Universal Pictures",2005-09-21,0,102,"prime"
"10485","16729","0","drama","non ti muovere",NA,2004-03-12,11837022,125,"nontimuovere"
"10486","178469","0","documentary","melancholian 3 huonetta",NA,2004-12-28,0,106,"melancholian3huonetta"
"10491","9993","0","drama","little fish","Porchlight Films",2005-07-19,0,114,"littlefish"
"10492","8274","10000000","comedy","american pie presents band camp","Rogue Pictures",2005-10-30,0,94,"americanpiepresentsbandcamp"
"10495","20128","8000000","romance","život je čudo","Les Films Alain Sarde",2004-05-14,0,155,"životječudo"
"10499","10799","24000000","action","l empire des loups","Gaumont",2005-04-20,11875866,128,"lempiredesloups"
"10500","42000","0","comedy","妖怪大戦争","Kadokawa Eiga K.K.",2005-08-06,0,124,"妖怪大戦争"
"10503","14897","0","crime","nordkraft","Nimbus Film Productions",2005-03-04,0,125,"nordkraft"
"10504","1951","14200000","drama","manderlay","Zentropa Entertainments",2005-05-16,674918,139,"manderlay"
"10506","16022","0","drama","nine lives",NA,2005-01-24,0,115,"ninelives"
"10511","34207","0","drama","temporada de patos","Cine Pantera",2004-10-22,0,90,"temporadadepatos"
"10515","10851","0","drama","revolver","Destination Films",2005-09-11,0,115,"revolver"
"10517","81220","500000","drama","everything put together","Furst Films",2001-11-02,0,87,"everythingputtogether"
"10518","25","72000000","drama","jarhead","Universal Pictures",2005-11-04,96889998,125,"jarhead"
"10519","105299","500000","comedy","siblings","Canadian Film Centre (CFC)",2004-09-14,0,85,"siblings"
"10520","15083","0","comedy","ushpizin",NA,2004-07-11,0,90,"ushpizin"
"10521","9982","150000000","animation","chicken little","Walt Disney Pictures",2005-11-04,314432665,81,"chickenlittle"
"10522","13994","0","comedy","romance cigarettes","United Artists",2005-09-13,2945242,105,"romancecigarettes"
"10523","73473","0","drama","al otro lado",NA,2004-03-09,0,90,"alotrolado"
"10524","12877","0","drama","dead man s shoes","EM Media",2004-09-29,0,90,"deadmansshoes"
"10525","11661","22000000","romance","joyeux noël","Senator Film Produktion",2005-11-09,17709155,116,"joyeuxnoël"
"10536","10060","40000000","drama","get rich or die tryin ","Paramount Pictures",2005-11-09,46442528,117,"getrichordietryin"
"10538","10033","0","comedy","just friends","Cinerenta Medienbeteiligungs KG",2005-11-23,50817508,96,"justfriends"
"10539","231","50000000","drama","syriana","Section Eight",2005-11-23,9.4e+07,128,"syriana"
"10543","68098","1800000","drama","menolippu mombasaan",NA,2002-09-06,0,88,"menolippumombasaan"
"10544","8999","22000000","drama","derailed","Miramax Films",2005-11-11,57479076,108,"derailed"
"10545","8555","0","horror","creep","Filmstiftung NRW",2004-08-10,0,85,"creep"
"10546","4348","28000000","drama","pride prejudice","Universal Pictures",2005-09-16,121147947,135,"prideprejudice"
"10547","47540","2500000","drama","keep your distance","Lunacy Unlimited Productions",2005-09-02,0,94,"keepyourdistance"
"10548","10064","0","thriller","edison","VIP 3 Medienfonds",2005-07-29,0,99,"edison"
"10550","9885","1000000","horror","wolf creek","Australian Film Finance Corporation",2005-01-01,27762648,99,"wolfcreek"
